# x_m,y_m
0.294255,-1.150092
-0.684447,-1.354917
-1.663302,-1.559021
-2.642306,-1.762420
-3.621456,-1.965125
-4.600750,-2.167150
-5.580132,-2.368669
-6.559654,-2.569535
-7.539310,-2.769762
-8.519099,-2.969362
-9.499019,-3.168351
-10.478991,-3.366998
-11.459089,-3.565060
-12.439309,-3.762549
-13.419648,-3.959481
-14.400104,-4.155867
-15.380578,-4.352077
-16.361164,-4.547768
-17.341859,-4.742955
-18.322660,-4.937651
-19.303565,-5.131870
-20.284454,-5.326077
-21.265441,-5.519833
-22.246524,-5.713152
-23.227700,-5.906048
-24.208968,-6.098534
-25.190183,-6.291173
-26.171485,-6.483429
-27.152870,-6.675315
-28.134335,-6.866845
-29.115878,-7.058032
-30.097336,-7.249539
-31.078866,-7.440729
-32.060467,-7.631618
-33.042135,-7.822218
-34.023868,-8.012543
-35.005485,-8.203352
-35.987162,-8.393913
-36.968896,-8.584239
-37.950684,-8.774344
-38.932523,-8.964241
-39.914230,-9.154767
-40.895983,-9.345111
-41.877778,-9.535289
-42.859614,-9.725312
-43.841486,-9.915194
-44.823220,-10.105749
-45.804984,-10.296190
-46.786777,-10.486531
-47.768595,-10.676785
-48.750436,-10.866965
-49.732133,-11.057837
-50.713846,-11.248661
-51.695572,-11.439452
-52.677309,-11.630224
-53.659054,-11.820989
-54.640650,-12.012462
-55.622247,-12.203956
-56.603842,-12.395484
-57.585433,-12.587059
-58.567017,-12.778694
-59.548446,-12.971057
-60.529861,-13.163507
-61.511260,-13.356058
-62.492638,-13.548722
-63.473995,-13.741515
-64.455191,-13.935053
-65.436359,-14.128745
-66.417494,-14.322605
-67.398595,-14.516646
-68.379658,-14.710881
-69.360555,-14.905880
-70.341407,-15.101100
-71.322212,-15.296555
-72.302967,-15.492258
-73.283668,-15.688222
-74.264198,-15.884968
-75.244669,-16.082002
-76.225076,-16.279338
-77.205418,-16.476988
-78.185690,-16.674967
-79.165786,-16.873746
-80.145807,-17.072880
-81.125749,-17.272383
-82.105610,-17.472267
-83.085386,-17.672547
-84.064980,-17.873644
-85.044483,-18.075164
-86.023892,-18.277118
-87.003204,-18.479522
-87.982415,-18.682388
-88.961439,-18.886089
-89.940357,-19.090280
-90.919165,-19.294973
-91.897860,-19.500182
-92.876440,-19.705919
-93.854826,-19.912511
-94.833091,-20.119659
-95.811231,-20.327376
-96.789242,-20.535676
-97.767123,-20.744571
-98.744805,-20.954339
-99.722350,-21.164730
-100.699754,-21.375757
-101.677015,-21.587434
-102.654129,-21.799773
-103.631040,-22.013003
-104.607799,-22.226923
-105.584401,-22.441546
-106.560845,-22.656885
-107.537126,-22.872954
-108.513227,-23.089813
-109.489216,-23.307174
-110.465096,-23.525027
-111.440868,-23.743364
-112.416535,-23.962173
-113.392069,-24.181562
-114.367501,-24.401405
-115.342834,-24.621692
-116.318071,-24.842412
-117.293214,-25.063556
-118.268244,-25.285184
-119.243184,-25.507215
-120.218037,-25.729642
-121.192803,-25.952454
-122.167487,-26.175640
-123.142080,-26.399213
-124.116594,-26.623141
-125.091031,-26.847415
-126.065393,-27.072025
-127.039683,-27.296961
-128.013905,-27.522186
-128.988059,-27.747718
-129.962147,-27.973546
-130.936172,-28.199662
-131.910135,-28.426056
-132.884053,-28.652641
-133.857914,-28.879483
-134.831720,-29.106575
-135.805474,-29.333904
-136.779177,-29.561462
-137.752858,-29.789115
-138.726492,-30.016976
-139.700084,-30.245037
-140.673633,-30.473288
-141.647144,-30.701719
-142.620655,-30.930146
-143.594131,-31.158734
-144.567574,-31.387473
-145.540988,-31.616352
-146.514373,-31.845363
-147.487781,-32.074273
-148.461166,-32.303294
-149.434529,-32.532418
-150.407874,-32.761634
-151.381201,-32.990932
-152.354574,-33.220032
-153.327934,-33.449195
-154.301284,-33.678411
-155.274626,-33.907671
-156.247963,-34.136964
-157.221368,-34.365963
-158.194771,-34.594975
-159.168175,-34.823992
-160.141583,-35.053004
-161.114996,-35.282000
-162.088499,-35.510603
-163.062012,-35.739172
-164.035538,-35.967697
-165.009077,-36.196167
-165.982633,-36.424573
-166.956302,-36.652490
-167.929991,-36.880323
-168.903704,-37.108063
-169.877442,-37.335699
-170.851207,-37.563223
-171.825107,-37.790160
-172.799038,-38.016964
-173.773004,-38.243627
-174.747006,-38.470137
-175.721045,-38.696486
-176.695242,-38.922150
-177.669481,-39.147633
-178.643765,-39.372925
-179.618095,-39.598016
-180.592475,-39.822896
-181.567033,-40.046995
-182.541644,-40.270863
-183.516310,-40.494492
-184.491033,-40.717870
-185.465816,-40.940989
-186.440799,-41.163229
-187.415846,-41.385190
-188.390958,-41.606861
-189.366138,-41.828234
-190.341387,-42.049298
-191.316858,-42.269386
-192.292403,-42.489146
