# x_m,y_m
-1.264935,6.252548
-2.243264,6.044722
-3.221593,5.836894
-4.199922,5.629065
-5.178250,5.421234
-6.156578,5.213403
-7.135001,5.005378
-8.113424,4.797352
-9.091846,4.589326
-10.070268,4.381297
-11.048690,4.173268
-12.027184,3.964949
-13.005677,3.756628
-13.984169,3.548306
-14.962661,3.339984
-15.941153,3.131659
-16.919694,2.922948
-17.898234,2.714236
-18.876773,2.505523
-19.855313,2.296808
-20.833851,2.088092
-21.812416,1.878892
-22.790980,1.669691
-23.769543,1.460489
-24.748106,1.251285
-25.726668,1.042081
-26.705233,0.832295
-27.683797,0.622507
-28.662360,0.412719
-29.640923,0.202930
-30.619485,-0.006860
-31.598027,-0.217330
-32.576569,-0.427800
-33.555109,-0.638272
-34.533649,-0.848744
-35.512187,-1.059218
-36.490653,-1.270461
-37.469117,-1.481705
-38.447581,-1.692950
-39.426043,-1.904196
-40.404505,-2.115443
-41.382752,-2.327507
-42.360998,-2.539572
-43.339243,-2.751637
-44.317487,-2.963704
-45.295731,-3.175771
-46.273733,-3.388624
-47.251735,-3.601478
-48.229736,-3.814333
-49.207737,-4.027189
-50.185737,-4.240046
-51.163505,-4.453640
-52.141273,-4.667234
-53.119040,-4.880830
-54.096807,-5.094426
-55.074573,-5.308023
-56.052120,-5.522308
-57.029666,-5.736594
-58.007212,-5.950881
-58.984757,-6.165168
-59.962302,-6.379457
-60.939638,-6.594384
-61.916973,-6.809313
-62.894308,-7.024242
-63.871642,-7.239172
-64.848976,-7.454102
-65.826112,-7.669624
-66.803248,-7.885146
-67.780383,-8.100669
-68.757517,-8.316192
-69.734651,-8.531716
-70.711599,-8.747782
-71.688547,-8.963849
-72.665494,-9.179916
-73.642441,-9.395984
-74.619387,-9.612052
-75.596157,-9.828614
-76.572928,-10.045176
-77.549697,-10.261739
-78.526467,-10.478302
-79.503236,-10.694866
-80.479840,-10.911875
-81.456444,-11.128884
-82.433048,-11.345894
-83.409651,-11.562904
-84.386254,-11.779914
-85.362704,-11.997321
-86.339153,-12.214728
-87.315602,-12.432135
-88.292051,-12.649543
-89.268499,-12.866951
-90.244805,-13.084707
-91.221111,-13.302463
-92.197416,-13.520219
-93.173722,-13.737975
-94.150026,-13.955731
-95.126200,-14.173787
-96.102373,-14.391843
-97.078547,-14.609900
-98.054720,-14.827956
-99.030892,-15.046012
-100.006945,-15.264319
-100.982997,-15.482627
-101.959048,-15.700934
-102.935100,-15.919241
-103.911152,-16.137549
-104.887094,-16.356058
-105.863036,-16.574567
-106.838979,-16.793077
-107.814921,-17.011586
-108.790863,-17.230095
-109.766706,-17.448758
-110.742549,-17.667421
-111.718393,-17.886084
-112.694236,-18.104746
-113.670079,-18.323409
-114.645835,-18.542176
-115.621591,-18.760944
-116.597347,-18.979711
-117.573103,-19.198478
-118.548858,-19.417245
-119.524538,-19.636068
-120.500217,-19.854891
-121.475897,-20.073714
-122.451576,-20.292537
-123.427256,-20.511359
-124.402870,-20.730189
-125.378484,-20.949019
-126.354099,-21.167849
-127.329713,-21.386678
-128.305328,-21.605508
-129.280888,-21.824296
-130.256448,-22.043083
-131.232008,-22.261871
-132.207568,-22.480658
-133.183128,-22.699445
-134.158646,-22.918143
-135.134164,-23.136840
-136.109682,-23.355537
-137.085200,-23.574233
-138.060718,-23.792929
-139.036204,-24.011487
-140.011689,-24.230044
-140.987175,-24.448602
-141.962661,-24.667158
-142.938147,-24.885715
-143.913612,-25.104084
-144.889077,-25.322453
-145.864543,-25.540822
-146.840009,-25.759190
-147.815475,-25.977558
-148.790931,-26.195690
-149.766387,-26.413821
-150.741843,-26.631953
-151.717300,-26.850083
-152.692757,-27.068214
-153.668215,-27.286060
-154.643673,-27.503905
-155.619131,-27.721751
-156.594590,-27.939595
-157.570049,-28.157439
-158.545520,-28.374951
-159.520990,-28.592462
-160.496461,-28.809972
-161.471933,-29.027482
-162.447405,-29.244992
-163.422900,-29.462119
-164.398396,-29.679247
-165.373892,-29.896373
-166.349388,-30.113499
-167.324885,-30.330625
-168.300416,-30.547321
-169.275946,-30.764016
-170.251477,-30.980710
-171.227009,-31.197404
-172.202541,-31.414097
-173.178118,-31.630311
-174.153695,-31.846525
-175.129273,-32.062738
-176.104852,-32.278951
-177.080431,-32.495163
-178.056065,-32.710848
-179.031701,-32.926532
-180.007337,-33.142215
-180.982973,-33.357898
-181.958610,-33.573579
-182.934313,-33.788686
-183.910017,-34.003791
-184.885721,-34.218896
-185.861426,-34.434000
-186.837132,-34.649103
-187.812915,-34.863581
