# x_m,y_m
0.001050,0.241973
-0.976587,0.031860
-1.954226,-0.178248
-2.931866,-0.388348
-3.909506,-0.598443
-4.887148,-0.808530
-5.864766,-1.018777
-6.842386,-1.229018
-7.820006,-1.439251
-8.797627,-1.649478
-9.775249,-1.859699
-10.752825,-2.070176
-11.730401,-2.280646
-12.707978,-2.491109
-13.685555,-2.701565
-14.663134,-2.912014
-15.640642,-3.122817
-16.618151,-3.333613
-17.595661,-3.544402
-18.573171,-3.755183
-19.550682,-3.965958
-20.528100,-4.177183
-21.505518,-4.388401
-22.482937,-4.599612
-23.460357,-4.810816
-24.437777,-5.022012
-25.415079,-5.233756
-26.392383,-5.445492
-27.369686,-5.657221
-28.346991,-5.868943
-29.324295,-6.080657
-30.301460,-6.293016
-31.278625,-6.505368
-32.255790,-6.717712
-33.232956,-6.930048
-34.210122,-7.142377
-35.187124,-7.355447
-36.164126,-7.568510
-37.141128,-7.781564
-38.118131,-7.994611
-39.095134,-8.207651
-40.071953,-8.421504
-41.048772,-8.635350
-42.025591,-8.849188
-43.002411,-9.063018
-43.979232,-9.276840
-44.955873,-9.491452
-45.932514,-9.706057
-46.909156,-9.920653
-47.885799,-10.135242
-48.862442,-10.349822
-49.838917,-10.565144
-50.815393,-10.780458
-51.791869,-10.995764
-52.768346,-11.211062
-53.744824,-11.426352
-54.721145,-11.642334
-55.697466,-11.858308
-56.673788,-12.074274
-57.650112,-12.290232
-58.626436,-12.506181
-59.602613,-12.722775
-60.578792,-12.939360
-61.554972,-13.155937
-62.531152,-13.372505
-63.507334,-13.589065
-64.483381,-13.806221
-65.459429,-14.023368
-66.435478,-14.240507
-67.411528,-14.457637
-68.387579,-14.674758
-69.363506,-14.892427
-70.339435,-15.110086
-71.315364,-15.327737
-72.291295,-15.545380
-73.267227,-15.763013
-74.243046,-15.981145
-75.218867,-16.199268
-76.194689,-16.417383
-77.170512,-16.635489
-78.146337,-16.853585
-79.122060,-17.072132
-80.097785,-17.290669
-81.073511,-17.509198
-82.049238,-17.727718
-83.024967,-17.946229
-84.000606,-18.165140
-84.976246,-18.384043
-85.951888,-18.602936
-86.927531,-18.821821
-87.903175,-19.040696
-88.878741,-19.259924
-89.854308,-19.479142
-90.829876,-19.698351
-91.805447,-19.917551
-92.781018,-20.136742
