# x_m,y_m
0.149761,-0.464067
-0.827773,-0.674555
-1.805308,-0.885038
-2.782843,-1.095516
-3.760380,-1.305987
-4.737918,-1.516451
-5.715418,-1.727068
-6.692921,-1.937676
-7.670425,-2.148273
-8.647931,-2.358857
-9.625439,-2.569429
-10.602888,-2.780246
-11.580340,-2.991048
-12.557794,-3.201833
-13.535252,-3.412600
-14.512712,-3.623349
-15.490091,-3.834435
-16.467474,-4.045500
-17.444860,-4.256542
-18.422251,-4.467562
-19.399646,-4.678557
-20.376937,-4.889982
-21.354232,-5.101379
-22.331533,-5.312749
-23.308838,-5.524090
-24.286149,-5.735402
-25.263334,-5.947234
-26.240524,-6.159033
-27.217720,-6.370800
-28.194923,-6.582532
-29.172132,-6.794229
-30.149193,-7.006538
-31.126260,-7.218810
-32.103335,-7.431042
-33.080417,-7.643235
-34.057507,-7.855387
-35.034428,-8.068243
-36.011358,-8.281057
-36.988296,-8.493825
-37.965243,-8.706549
-38.942198,-8.919226
-39.918982,-9.132678
-40.895774,-9.346081
-41.872576,-9.559434
-42.849388,-9.772737
-43.826210,-9.985987
-44.802870,-10.199984
-45.779541,-10.413927
-46.756223,-10.627815
-47.732915,-10.841646
-48.709620,-11.055419
-49.686174,-11.269886
-50.662740,-11.484292
-51.639319,-11.698638
-52.615911,-11.912922
-53.592515,-12.127143
-54.568982,-12.342002
-55.545462,-12.556796
-56.521956,-12.771523
-57.498464,-12.986184
-58.474987,-13.200775
-59.451384,-13.415952
-60.427795,-13.631057
-61.404222,-13.846091
-62.380665,-14.061052
-63.357123,-14.275939
-64.333468,-14.491356
-65.309830,-14.706697
-66.286208,-14.921961
-67.262603,-15.137147
-68.239015,-15.352253
-69.215326,-15.567836
-70.191655,-15.783336
-71.168002,-15.998754
-72.144366,-16.214088
-73.120750,-16.429337
-74.097045,-16.645009
-75.073358,-16.860593
-76.049692,-17.076090
-77.026044,-17.291496
-78.002417,-17.506813
-78.978713,-17.722498
-79.955030,-17.938090
-80.931368,-18.153588
-81.907726,-18.368992
-82.884105,-18.584299
-83.860421,-18.799921
-84.836759,-19.015445
-85.813118,-19.230869
-86.789499,-19.446193
-87.765903,-19.661416
-88.742255,-19.876899
-89.718630,-20.092278
-90.695029,-20.307552
-91.671451,-20.522721
-92.647896,-20.737782
-93.624302,-20.953050
-94.600733,-21.168208
-95.577188,-21.383257
-96.553668,-21.598194
-97.530173,-21.813018
-98.506651,-22.027995
-99.483154,-22.242857
-100.459683,-22.457603
-101.436238,-22.672233
-102.412820,-22.886744
-103.389386,-23.101353
-104.365979,-23.315842
-105.342599,-23.530210
-106.319246,-23.744455
-107.295921,-23.958577
-108.272582,-24.172793
-109.249248,-24.386985
-110.225919,-24.601153
-111.202596,-24.815297
-112.179278,-25.029417
-113.155946,-25.243631
-114.132619,-25.457822
-115.109298,-25.671987
-116.085982,-25.886128
-117.062672,-26.100245
-118.039357,-26.314407
-119.016048,-26.528545
-119.992745,-26.742658
-120.969447,-26.956745
-121.946155,-27.170808
-122.922870,-27.384868
-123.899590,-27.598902
-124.876316,-27.812911
-125.853047,-28.026894
-126.829784,-28.240852
-127.806538,-28.454758
-128.783298,-28.668638
-129.760064,-28.882492
-130.736835,-29.096320
-131.713612,-29.310122
-132.690417,-29.523823
-133.667228,-29.737498
-134.644044,-29.951147
-135.620866,-30.164769
-136.597694,-30.378365
-137.574560,-30.591811
-138.551432,-30.805230
-139.528310,-31.018622
-140.505193,-31.231988
-141.482083,-31.445326
-142.459021,-31.658466
-143.435966,-31.871578
-144.412916,-32.084664
-145.389871,-32.297721
-146.366833,-32.510752
-147.343855,-32.723534
-148.320882,-32.936289
-149.297915,-33.149016
-150.274954,-33.361716
-151.251998,-33.574387
-152.229113,-33.786761
-153.206234,-33.999108
-154.183360,-34.211426
-155.160493,-34.423716
-156.137630,-34.635977
-157.114850,-34.847893
-158.092075,-35.059780
-159.069306,-35.271639
-160.046542,-35.483469
-161.023784,-35.695270
-162.001119,-35.906676
-162.978459,-36.118052
-163.955804,-36.329400
-164.933156,-36.540719
-165.910513,-36.752008
-166.887972,-36.962853
-167.865438,-37.173669
-168.842909,-37.384456
-169.820385,-37.595213
-170.797867,-37.805940
-171.775463,-38.016173
-172.753064,-38.226377
-173.730671,-38.436551
-174.708283,-38.646695
-175.685901,-38.856809
-176.663643,-39.066380
-177.641390,-39.275921
-178.619143,-39.485431
-179.596902,-39.694911
-180.574666,-39.904361
-181.552564,-40.113218
