# x_m,y_m
2.290450,0.336043
2.865465,1.154399
3.441477,1.972034
4.018471,2.788957
4.596434,3.605180
5.175350,4.420712
5.755154,5.235572
6.335883,6.049763
6.917525,6.863294
7.500064,7.676174
8.083488,8.488416
8.667732,9.300037
9.252832,10.111040
9.838773,10.921433
10.425542,11.731228
11.013124,12.540435
11.601461,13.349073
12.190583,14.157144
12.780477,14.964657
13.371127,15.771622
13.962521,16.578050
14.554602,17.383960
15.147399,18.189354
15.740896,18.994241
16.335080,19.798632
16.929937,20.602536
17.525416,21.405975
18.121539,22.208948
18.718292,23.011466
19.315661,23.813538
19.913633,24.615174
20.512160,25.416397
21.111261,26.217204
21.710923,27.017607
22.311130,27.817616
22.911868,28.617240
23.513096,29.416501
24.114827,30.215399
24.717048,31.013943
25.319744,31.812143
25.922902,32.610010
26.526481,33.407566
27.130494,34.204809
27.734926,35.001750
28.339763,35.798397
28.944991,36.594763
29.550575,37.390868
30.156521,38.186712
30.762816,38.982304
31.369446,39.777654
31.976396,40.572773
32.583636,41.367683
33.191167,42.162382
33.798977,42.956881
34.407051,43.751188
35.015375,44.545315
35.623921,45.339285
36.232689,46.133095
36.841666,46.926755
37.450835,47.720275
38.060185,48.513666
38.669690,49.306951
39.279347,50.100127
39.889140,50.893204
40.499058,51.686192
41.109084,52.479102
41.719199,53.271956
42.329395,54.064753
42.939657,54.857501
43.549973,55.650211
44.160327,56.442894
44.770700,57.235572
45.381084,58.028243
45.991465,58.820916
46.601827,59.613603
47.212158,60.406312
47.822439,61.199067
48.432660,61.991866
49.042806,62.784718
49.652865,63.577634
50.262821,64.370624
50.872657,65.163710
51.482362,65.956890
52.091923,66.750175
52.701325,67.543574
53.310554,68.337099
53.919594,69.130769
54.528433,69.924584
55.137057,70.718554
55.745452,71.512691
56.353604,72.307003
56.961496,73.101511
57.569116,73.896214
58.176451,74.691124
58.783487,75.486251
59.390209,76.281604
59.996601,77.077203
60.602652,77.873049
61.208346,78.669152
61.813671,79.465523
62.418612,80.262171
63.023153,81.059114
63.627282,81.856356
64.230985,82.653905
64.834247,83.451774
65.437055,84.249970
66.039394,85.048512
66.641249,85.847403
67.242608,86.646653
67.843456,87.446272
68.443779,88.246271
69.043564,89.046664
69.642795,89.847458
70.241459,90.648662
70.839542,91.450286
71.437029,92.252340
72.033907,93.054839
72.630162,93.857789
73.225778,94.661200
73.820743,95.465082
74.415042,96.269446
75.008663,97.074304
75.601590,97.879664
76.193809,98.685536
76.785305,99.491930
77.376065,100.298856
77.966077,101.106327
78.555324,101.914351
79.143793,102.722937
79.731469,103.532097
80.318338,104.341840
80.904516,105.152085
81.490127,105.962741
82.075180,106.773800
82.659684,107.585255
83.243649,108.397101
83.827087,109.209329
84.410004,110.021935
84.992409,110.834911
85.574311,111.648250
86.155719,112.461947
86.736647,113.275993
87.317098,114.090384
87.897083,114.905111
88.476611,115.720170
89.055690,116.535552
89.634335,117.351250
90.212549,118.167260
90.790343,118.983573
91.367724,119.800185
91.944702,120.617088
92.521293,121.434272
93.097499,122.251735
93.673329,123.069470
94.248792,123.887469
94.823899,124.705727
95.398663,125.524232
95.973089,126.342983
96.547184,127.161973
97.120959,127.981195
97.694421,128.800642
98.267588,129.620304
98.840462,130.440178
99.413050,131.260257
99.985364,132.080536
100.557411,132.901008
101.129208,133.721659
101.700758,134.542490
102.272068,135.363494
102.843149,136.184664
103.414008,137.005994
103.984665,137.827470
104.555119,138.649093
105.125379,139.470856
105.695455,140.292752
106.265356,141.114775
106.835100,141.936911
107.404687,142.759160
107.974126,143.581517
108.543426,144.403974
109.112597,145.226525
109.681656,146.049154
110.250604,146.871864
110.819450,147.694648
