# x_m,y_m
3.454904,-0.506574
4.035721,0.307600
4.616537,1.121775
5.197353,1.935951
5.778167,2.750127
6.358981,3.564303
6.939741,4.378488
7.520501,5.192672
8.101261,6.006857
8.682021,6.821041
9.262781,7.635226
9.843493,8.449418
10.424204,9.263610
11.004917,10.077801
11.585630,10.891992
12.166344,11.706182
12.747014,12.520380
13.327685,13.334577
13.908358,14.148773
14.489032,14.962969
15.069708,15.777162
15.650344,16.591364
16.230983,17.405564
16.811623,18.219763
17.392266,19.033960
17.972911,19.848155
18.553521,20.662358
19.134135,21.476560
19.714751,22.290759
20.295369,23.104956
20.875992,23.919151
21.456584,24.733353
22.037179,25.547553
22.617779,26.361751
23.198381,27.175945
23.778988,27.990137
24.359570,28.804337
24.940156,29.618534
25.520746,30.432727
26.101341,31.246917
26.681940,32.061104
27.262519,32.875299
27.843102,33.689491
28.423691,34.503678
29.004284,35.317862
29.584883,36.132042
30.165467,36.946230
30.746056,37.760414
31.326651,38.574594
31.907252,39.388769
32.487859,40.202940
33.068454,41.017118
33.649057,41.831292
34.229665,42.645461
34.810281,43.459626
35.390903,44.273785
35.971519,45.087952
36.552142,45.902114
37.132773,46.716271
37.713411,47.530422
38.294056,48.344568
38.874700,49.158722
39.455351,49.972871
40.036011,50.787013
40.616679,51.601149
41.197355,52.415280
41.778034,53.229418
42.358721,54.043549
42.939417,54.857675
43.520122,55.671793
44.100836,56.485906
44.681554,57.300024
45.262282,58.114136
45.843019,58.928241
46.423766,59.742339
47.004523,60.556429
47.585285,61.370524
48.166058,62.184612
48.746841,62.998693
49.327635,63.812766
49.908439,64.626831
50.489250,65.440900
51.070072,66.254960
51.650905,67.069013
52.231749,67.883058
52.812605,68.697094
53.393469,69.511132
53.974345,70.325162
54.555233,71.139183
55.136133,71.953196
55.717045,72.767199
56.297967,73.581203
56.878901,74.395198
57.459848,75.209184
58.040807,76.023161
58.621780,76.837128
59.202763,77.651094
59.783760,78.465051
60.364771,79.278998
60.945795,80.092935
61.526832,80.906863
62.107882,81.720787
62.688947,82.534702
63.270025,83.348606
63.851117,84.162500
64.432224,84.976384
65.013345,85.790263
65.594481,86.604132
66.175632,87.417990
66.756797,88.231837
