# x_m,y_m
2.809273,-0.039386
3.394979,0.771242
3.980722,1.581843
4.566501,2.392418
5.152317,3.202966
5.738168,4.013488
6.324002,4.823993
6.909872,5.634473
7.495776,6.444928
8.081714,7.255357
8.667687,8.065762
9.253644,8.876152
9.839635,9.686517
10.425659,10.496858
11.011715,11.307176
11.597804,12.117471
12.183879,12.927752
12.769987,13.738010
13.356125,14.548246
13.942295,15.358459
14.528495,16.168650
15.114684,16.978830
15.700903,17.788988
16.287151,18.599124
16.873428,19.409240
17.459734,20.219335
18.046031,21.029420
18.632356,21.839485
19.218709,22.649530
19.805089,23.459555
20.391495,24.269561
20.977896,25.079559
21.564322,25.889538
22.150774,26.699498
22.737252,27.509439
23.323754,28.319363
23.910252,29.129280
24.496775,29.939180
25.083321,30.749063
25.669891,31.558928
26.256485,32.368776
26.843076,33.178621
27.429689,33.988448
28.016325,34.798260
28.602982,35.608056
29.189661,36.417837
29.776339,37.227614
30.363039,38.037377
30.949759,38.847126
31.536498,39.656859
32.123258,40.466579
32.710019,41.276297
33.296799,42.086002
33.883598,42.895693
34.470415,43.705372
35.057250,44.515037
35.644088,45.324703
36.230944,46.134357
36.817817,46.943999
37.404706,47.753629
37.991611,48.563247
38.578523,49.372868
39.165449,50.182478
39.752391,50.992078
40.339347,51.801666
40.926317,52.611245
41.513295,53.420827
42.100286,54.230400
42.687291,55.039963
43.274308,55.849517
43.861338,56.659062
44.448374,57.468612
45.035423,58.278153
45.622483,59.087686
46.209553,59.897211
46.796635,60.706729
47.383722,61.516251
47.970819,62.325766
48.557926,63.135274
49.145041,63.944775
49.732166,64.754270
50.319295,65.563771
50.906433,66.373265
51.493578,67.182754
52.080730,67.992238
52.667890,68.801717
53.255053,69.611201
53.842223,70.420680
54.429398,71.230155
55.016579,72.039627
55.603766,72.849094
56.190954,73.658567
56.778148,74.468037
57.365345,75.277504
57.952546,76.086968
58.539751,76.896430
59.126957,77.705898
59.714165,78.515364
60.301376,79.324828
60.888589,80.134291
61.475804,80.943752
62.063019,81.753220
62.650235,82.562687
63.237451,83.372154
63.824668,84.181621
64.411884,84.991088
64.999099,85.800562
65.586314,86.610036
66.173527,87.419511
