# x_m,y_m
2.902916,-0.107147
3.486680,0.704888
4.070744,1.516704
4.655104,2.328307
5.239755,3.139699
5.824695,3.950883
6.409865,4.761869
6.995314,5.572654
7.581038,6.383240
8.167033,7.193630
8.753295,8.003826
9.339771,8.813842
9.926505,9.623670
10.513494,10.433315
11.100733,11.242778
11.688217,12.052064
12.275899,12.861185
12.863818,13.670133
13.451971,14.478913
14.040353,15.287527
14.628961,16.095978
15.217748,16.904279
15.806753,17.712423
16.395970,18.520413
16.985395,19.328253
17.575025,20.135945
18.164818,20.943503
18.754807,21.750919
19.344988,22.558196
19.935356,23.365338
20.525908,24.172347
21.116607,24.979238
21.707481,25.786001
22.298525,26.592641
22.889737,27.399160
23.481111,28.205562
24.072615,29.011861
24.664273,29.818048
25.256081,30.624127
25.848036,31.430100
26.440132,32.235970
27.032340,33.041753
27.624683,33.847440
28.217154,34.653033
28.809751,35.458535
29.402469,36.263950
29.995282,37.069293
30.588208,37.874555
31.181243,38.679738
31.774382,39.484846
32.367622,40.289882
32.960940,41.094861
33.554349,41.899773
34.147847,42.704622
34.741428,43.509411
35.335089,44.314142
35.928811,45.118833
36.522605,45.923472
37.116465,46.728063
37.710388,47.532608
38.304369,48.337111
38.898396,49.141589
39.492472,49.946031
40.086595,50.750440
40.680760,51.554818
41.274962,52.359169
41.869191,53.163510
42.463450,53.967829
43.057734,54.772130
43.652040,55.576417
44.246362,56.380691
44.840691,57.184969
45.435030,57.989241
46.029372,58.793509
46.623715,59.597778
47.218054,60.402050
47.812381,61.206339
48.406695,62.010638
49.000993,62.814948
49.595270,63.619273
50.189523,64.423616
50.783742,65.227992
51.377929,66.032391
51.972078,66.836818
52.566186,67.641274
53.160248,68.445763
53.754258,69.250299
54.348214,70.054874
54.942112,70.859490
55.535947,71.664152
56.129716,72.468862
56.723412,73.273631
57.317033,74.078455
57.910575,74.883336
58.504034,75.688277
59.097406,76.493281
59.690685,77.298360
60.283868,78.103507
60.876952,78.908727
61.469931,79.714022
62.062803,80.519395
62.655561,81.324856
63.248203,82.130401
63.840724,82.936034
64.433121,83.741757
65.025388,84.547573
65.617523,85.353491
66.209519,86.159509
66.801375,86.965628
67.393085,87.771854
67.984645,88.578187
68.576052,89.384637
69.167300,90.191201
69.758387,90.997882
70.349307,91.804684
70.940056,92.611609
71.530632,93.418664
72.121029,94.225849
72.711242,95.033166
73.301268,95.840618
73.891103,96.648209
74.480745,97.455944
75.070186,98.263824
75.659424,99.071851
76.248453,99.880028
76.837271,100.688359
77.425874,101.496849
78.014257,102.305497
78.602415,103.114309
79.190345,103.923285
79.778041,104.732430
80.365592,105.541684
80.953085,106.350979
81.540520,107.160317
82.127898,107.969695
82.715219,108.779114
83.302490,109.588573
83.889707,110.398072
84.476870,111.207608
85.063981,112.017183
85.651040,112.826794
86.238054,113.636442
86.825018,114.446125
87.411933,115.255843
87.998801,116.065596
88.585622,116.875382
89.172402,117.685200
89.759138,118.495050
90.345829,119.304931
90.932478,120.114844
91.519084,120.924788
92.105655,121.734758
92.692186,122.544757
93.278678,123.354784
93.865131,124.164839
94.451547,124.974922
95.037933,125.785027
95.624284,126.595157
96.210600,127.405313
96.796882,128.215493
97.383131,129.025697
97.969356,129.835919
98.555550,130.646163
99.141714,131.456429
99.727849,132.266716
100.313955,133.077023
100.900043,133.887344
101.486104,134.697684
102.072140,135.508042
102.658151,136.318418
103.244139,137.128810
103.830113,137.939213
104.416065,138.749631
105.001997,139.560063
105.587908,140.370511
106.173801,141.180971
106.759686,141.991437
107.345554,142.801915
107.931406,143.612405
108.517242,144.422906
109.103065,145.233417
109.688884,146.043928
110.274691,146.854448
110.860486,147.664977
111.446271,148.475513
112.032046,149.286056
112.617824,150.096595
113.203594,150.907140
113.789357,151.717690
114.375114,152.528244
114.960867,153.338802
115.546627,154.149351
116.132384,154.959903
116.718139,155.770456
117.303893,156.581010
117.889647,157.391564
118.475413,158.202105
119.061181,159.012646
119.646951,159.823184
120.232725,160.633720
120.818504,161.444253
121.404301,162.254769
121.990104,163.065281
122.575914,163.875787
123.161732,164.686288
123.747560,165.496782
124.333411,166.307255
124.919273,167.117719
125.505147,167.928176
126.091034,168.738623
126.676934,169.549060
127.262863,170.359472
127.848808,171.169872
128.434769,171.980260
129.020748,172.790636
129.606745,173.600999
130.192777,174.411331
130.778829,175.221649
131.364901,176.031952
131.950996,176.842238
132.537114,177.652508
133.123271,178.462744
133.709454,179.272962
134.295662,180.083161
134.881896,180.893341
135.468159,181.703500
136.054466,182.513622
136.640803,183.323721
137.227171,184.133799
137.813570,184.943854
138.400001,185.753886
138.986482,186.563874
139.572998,187.373838
140.159549,188.183776
140.746136,188.993689
141.332759,189.803574
141.919439,190.613413
142.506158,191.423223
143.092916,192.233004
143.679714,193.042756
144.266555,193.852478
144.853456,194.662148
145.440401,195.471787
146.027390,196.281393
146.614425,197.090967
147.201505,197.900507
147.788653,198.709992
148.375848,199.519442
148.963092,200.328857
149.550387,201.138235
150.137732,201.947577
150.725136,202.756872
151.312593,203.566129
151.900104,204.375347
152.487669,205.184526
153.075290,205.993664
153.662928,206.802788
154.250624,207.611871
154.838378,208.420912
155.426191,209.229909
156.014065,210.038864
156.601912,210.847839
157.189821,211.656769
157.777792,212.465654
158.365828,213.274493
158.953929,214.083285
159.542083,214.892042
160.130552,215.700572
160.719328,216.508880
161.308406,217.316970
161.897779,218.124847
162.487253,218.932659
163.077010,219.740266
163.667043,220.547675
164.257347,221.354890
164.847914,222.161915
165.438501,222.968935
166.029339,223.775775
166.620422,224.582439
167.211743,225.388933
167.803297,226.195260
168.394790,227.001645
168.986503,227.807872
169.578429,228.613947
170.170562,229.419875
170.762897,230.225660
171.355089,231.031564
171.947470,231.837334
172.540032,232.642975
173.132771,233.448493
173.725679,234.253890
174.318364,235.059469
174.911207,235.864938
175.504200,236.670301
176.097337,237.475563
176.690612,238.280729
177.283584,239.086138
177.876682,239.891460
178.469898,240.696700
179.063227,241.501863
179.656663,242.306952
180.249715,243.112347
180.842861,243.917678
181.436094,244.722950
182.029409,245.528168
182.622799,246.333336
183.215724,247.138872
183.808712,247.944368
184.401755,248.749828
184.994849,249.555256
185.587986,250.360658
186.180577,251.166489
186.773199,251.972304
187.365846,252.778105
187.958511,253.583899
188.551188,254.389689
189.143239,255.195970
189.735289,256.002258
190.327331,256.808556
190.919361,257.614869
191.511370,258.421201
192.102672,259.228087
192.693941,260.035002
193.285172,260.841950
193.876358,261.648936
194.467492,262.455964
195.057837,263.263607
195.648118,264.071303
196.238329,264.879054
196.828463,265.686866
197.418513,266.494743
198.007694,267.303297
198.596778,268.111926
199.185760,268.920633
199.774633,269.729424
200.363390,270.538302
200.951178,271.347892
201.538838,272.157580
