# x_m,y_m
-0.892038,1.654786
-1.423219,2.501802
-1.954170,3.348962
-2.484896,4.196264
-3.015400,5.043705
-3.545685,5.891283
-4.075482,6.739163
-4.605067,7.587175
-5.134443,8.435317
-5.663616,9.283588
-6.192587,10.131985
-6.721100,10.980663
-7.249420,11.829462
-7.777549,12.678381
-8.305491,13.527416
-8.833249,14.376566
-9.360581,15.225978
-9.887736,16.075500
-10.414719,16.925129
-10.941532,17.774865
-11.468180,18.624703
-11.994432,19.474785
-12.520525,20.324965
-13.046463,21.175242
-13.572250,22.025613
-14.097888,22.876076
-14.623162,23.726762
-15.148295,24.577536
-15.673290,25.428395
-16.198152,26.279337
-16.722884,27.130360
-17.247281,27.981587
-17.771556,28.832890
-18.295710,29.684268
-18.819749,30.535717
-19.343675,31.387237
-19.867299,32.238940
-20.390816,33.090709
-20.914232,33.942541
-21.437550,34.794433
-21.960773,35.646384
-22.483724,36.498500
-23.006588,37.350671
-23.529367,38.202893
-24.052066,39.055165
-24.574688,39.907485
-25.097069,40.759950
-25.619381,41.612459
-26.141626,42.465008
-26.663808,43.317595
-27.185932,44.170219
-27.707845,45.022970
-28.229706,45.875752
-28.751519,46.728564
-29.273287,47.581404
-29.795014,48.434268
-30.316561,49.287241
-30.838075,50.140234
-31.359558,50.993246
-31.881014,51.846274
-32.402446,52.699316
-32.923730,53.552446
-33.444999,54.405586
-33.966254,55.258734
-34.487500,56.111886
-35.008740,56.965042
-35.529864,57.818268
-36.050990,58.671492
-36.572120,59.524712
-37.093259,60.377926
-37.614410,61.231133
-38.135475,62.084389
-38.656560,62.937633
-39.177667,63.790863
-39.698800,64.644075
-40.219964,65.497268
-40.741073,66.350493
-41.262220,67.203694
-41.783407,68.056869
-42.304638,68.910016
-42.825917,69.763133
-43.347173,70.616262
-43.868484,71.469357
-44.389853,72.322415
-44.911285,73.175433
-45.432781,74.028411
-45.954286,74.881381
-46.475863,75.734305
-46.997517,76.587182
-47.519250,77.440009
-48.041067,78.292783
-48.562923,79.145531
-49.084869,79.998223
-49.606910,80.850856
-50.129048,81.703427
-50.651287,82.555935
-51.173597,83.408398
-51.696015,84.260793
-52.218545,85.113118
-52.741191,85.965371
-53.263955,86.817549
-53.786821,87.669663
-54.309813,88.521698
-54.832935,89.373652
-55.356190,90.225522
-55.879581,91.077307
-56.403106,91.929009
-56.926774,92.780621
-57.450590,93.632140
-57.974557,94.483565
-58.498678,95.334894
-59.022963,96.186120
-59.547410,97.037245
-60.072022,97.888267
-60.596803,98.739183
-61.121757,99.589992
-61.646905,100.440678
-62.172233,101.291252
-62.697744,102.141712
-63.223441,102.992055
-63.749329,103.842280
-64.275443,104.692363
-64.801753,105.542323
-65.328265,106.392158
-65.854981,107.241865
-66.381905,108.091442
-66.909087,108.940858
-67.436483,109.790140
-67.964098,110.639286
-68.491935,111.488293
-69.019997,112.337158
-69.548348,113.185844
-70.076932,114.034384
-70.605752,114.882777
-71.134812,115.731020
-71.664115,116.579110
-72.193738,117.427001
-72.723611,118.274735
-73.253738,119.122311
-73.784122,119.969725
-74.314768,120.816976
-74.845654,121.664077
-75.376587,122.511149
-75.907564,123.358192
-76.438586,124.205208
-76.969652,125.052196
-77.500860,125.899095
-78.032110,126.745968
-78.563402,127.592814
-79.094735,128.439635
-79.626107,129.286431
-80.157632,130.133132
-80.689195,130.979808
-81.220796,131.826461
-81.752435,132.673090
-82.284110,133.519696
-82.815945,134.366202
-83.347816,135.212686
-83.879721,136.059148
-84.411660,136.905588
-84.943632,137.752008
-85.475774,138.598321
-86.007948,139.444615
-86.540153,140.290889
-87.072388,141.137143
-87.604652,141.983380
-88.137096,142.829503
-88.669567,143.675610
-89.202066,144.521698
-89.734592,145.367771
-90.267142,146.213826
-90.799883,147.059764
-91.332648,147.905686
-91.865436,148.751593
-92.398247,149.597485
-92.931080,150.443364
-93.464112,151.289117
-93.997165,152.134858
-94.530237,152.980585
-95.063329,153.826301
-95.596439,154.672005
-96.129758,155.517578
-96.663094,156.363140
-97.196446,157.208691
-97.729813,158.054233
-98.263196,158.899765
-98.796796,159.745160
-99.330409,160.590547
-99.864036,161.435926
-100.397674,162.281297
-100.931323,163.126660
-101.465194,163.971883
-101.999076,164.817100
-102.532966,165.662311
-103.066865,166.507517
-103.600771,167.352717
-104.134882,168.197790
-104.668998,169.042858
-105.203120,169.887923
-105.737246,170.732985
-106.271376,171.578044
