# x_m,y_m
0.827874,2.737637
0.294912,3.583379
-0.238251,4.428993
-0.771613,5.274483
-1.305169,6.119850
-1.838919,6.965096
-2.372589,7.810394
-2.906445,8.655574
-3.440486,9.500639
-3.974709,10.345590
-4.509111,11.190429
-5.043431,12.035320
-5.577925,12.880103
-6.112589,13.724780
-6.647421,14.569351
-7.182418,15.413819
-7.717333,16.258341
-8.252407,17.102764
-8.787637,17.947088
-9.323022,18.791317
-9.858557,19.635451
-10.394010,20.479640
-10.929607,21.323738
-11.465348,22.167747
-12.001228,23.011669
-12.537245,23.855506
-13.073179,24.699398
-13.609244,25.543208
-14.145438,26.386937
-14.681757,27.230589
-15.218199,28.074164
-15.754557,28.917795
-16.291032,29.761352
-16.827622,30.604839
-17.364324,31.448257
-17.901134,32.291606
-18.437859,33.135012
-18.974687,33.978353
-19.511616,34.821633
-20.048643,35.664851
-20.585764,36.508011
-21.122800,37.351228
-21.659925,38.194390
-22.197136,39.037498
-22.734431,39.880554
-23.271806,40.723560
-23.809095,41.566624
-24.346459,42.409641
-24.883896,43.252613
-25.421402,44.095543
-25.958975,44.938431
-26.496460,45.781377
-27.034006,46.624285
-27.571610,47.467157
-28.109270,48.309995
-28.646983,49.152801
-29.184607,49.995665
-29.722278,50.838500
-30.259993,51.681308
-30.797749,52.524091
-31.335545,53.366850
-31.873250,54.209668
-32.410989,55.052465
-32.948758,55.895244
-33.486554,56.738006
-34.024374,57.580754
-34.562105,58.423561
-35.099854,59.266356
-35.637620,60.109142
-36.175398,60.951920
-36.713187,61.794692
-37.250885,62.637523
-37.788587,63.480351
-38.326291,64.323179
-38.863995,65.166007
-39.401694,66.008838
-39.939302,66.851729
-40.476900,67.694627
-41.014486,68.537532
-41.552058,69.380446
-42.089611,70.223373
-42.627072,71.066359
-43.164508,71.909360
-43.701919,72.752378
-44.239301,73.595414
-44.776651,74.438471
-45.313906,75.281587
-45.851124,76.124728
-46.388302,76.967893
-46.925436,77.811086
-47.462524,78.654308
-47.999518,79.497591
-48.536460,80.340906
-49.073348,81.184256
-49.610178,82.027641
-50.146948,82.871064
-50.683623,83.714548
-51.220231,84.558073
-51.756771,85.401641
-52.293240,86.245254
-52.829635,87.088913
-53.365933,87.932634
-53.902150,88.776404
-54.438286,89.620226
-54.974336,90.464102
-55.510297,91.308033
-56.046161,92.152025
-56.581931,92.996077
-57.117604,93.840188
-57.653178,94.684362
-58.188649,95.528600
-58.724021,96.372901
-59.259286,97.217268
-59.794440,98.061705
-60.329480,98.906213
-60.864404,99.750794
-61.399228,100.595437
-61.933930,101.440156
-62.468507,102.284953
-63.002957,103.129830
-63.537276,103.974789
-64.071494,104.819810
-64.605577,105.664917
-65.139520,106.510110
-65.673322,107.355392
-66.206979,108.200764
-66.740535,109.046200
-67.273940,109.891729
-67.807193,110.737354
-68.340290,111.583077
-68.873228,112.428898
-69.406064,113.274784
-69.938735,114.120772
-70.471240,114.966864
-71.003575,115.813063
-71.535737,116.659369
-72.067796,117.505740
-72.599676,118.352223
-73.131376,119.198819
-73.662892,120.045529
-74.194220,120.892356
-74.725362,121.739301
-75.256149,122.586468
-75.786587,123.433853
-76.316682,124.281452
-76.846440,125.129262
-77.375965,125.977219
-77.905163,126.825379
-78.434041,127.673741
-78.962603,128.522299
-79.490856,129.371052
-80.018917,130.219925
-80.546680,131.068986
-81.074150,131.918229
-81.601333,132.767653
-82.128234,133.617253
-82.654984,134.466949
-83.181464,135.316815
-83.707679,136.166846
-84.233634,137.017041
-84.759336,137.867395
-85.284928,138.717818
-85.810278,139.568394
-86.335392,140.419119
-86.860273,141.269989
-87.384929,142.121001
-87.909517,142.972058
-88.433890,143.823250
-88.958054,144.674573
-89.482014,145.526025
-90.005777,146.377601
-90.529512,147.229197
-91.053061,148.080910
-91.576429,148.932738
-92.099621,149.784677
-92.622644,150.636723
-93.145680,151.488763
-93.668558,152.340904
-94.191283,153.193141
-94.713860,154.045472
-95.236295,154.897893
-95.758786,155.750283
-96.281146,156.602756
-96.803380,157.455308
-97.325495,158.307937
-97.847496,159.160639
-98.369593,160.013283
-98.891586,160.865993
-99.413483,161.718766
-99.935288,162.571598
-100.457006,163.424485
-100.978855,164.277289
-101.500629,165.130141
-102.022334,165.983038
-102.543974,166.835977
-103.065556,167.688954
-103.587281,168.541839
-104.108958,169.394755
-104.630594,170.247698
-105.152193,171.100665
-105.673762,171.953653
-106.195479,172.806546
-106.717176,173.659452
-107.238859,174.512367
-107.760533,175.365290
-108.282205,176.218215
-108.804030,177.071042
-109.325863,177.923865
-109.847710,178.776680
-110.369577,179.629484
-110.891468,180.482273
-111.413518,181.334961
-111.935605,182.187627
-112.457732,183.040267
-112.979907,183.892879
-113.502134,184.745458
