# x_m,y_m
0.004860,2.219470
-0.525360,3.067011
-1.055549,3.914571
-1.585710,4.762148
-2.115841,5.609743
-2.645943,6.457356
-3.175745,7.305156
-3.705519,8.152973
-4.235264,9.000807
-4.764981,9.848659
-5.294670,10.696528
-5.824073,11.544574
-6.353448,12.392638
-6.882796,13.240718
-7.412117,14.088814
-7.941411,14.936927
-8.470433,15.785209
-8.999429,16.633508
-9.528398,17.481822
-10.057341,18.330152
-10.586258,19.178498
-11.114918,20.027004
-11.643552,20.875526
-12.172161,21.724063
-12.700745,22.572615
-13.229305,23.421182
-13.757621,24.269901
-14.285912,25.118634
-14.814180,25.967383
-15.342423,26.816146
-15.870643,27.664923
-16.398633,28.513843
-16.926600,29.362777
-17.454544,30.211725
-17.982465,31.060687
-18.510364,31.909663
-19.038047,32.758773
-19.565708,33.607896
-20.093347,34.457032
-20.620964,35.306182
-21.148559,36.155345
-21.675954,37.004633
-22.203328,37.853934
-22.730680,38.703247
-23.258012,39.552574
-23.785323,40.401913
-24.312448,41.251368
-24.839553,42.100835
-25.366638,42.950314
-25.893703,43.799806
-26.420748,44.649309
-26.947621,45.498920
-27.474475,46.348542
-28.001310,47.198176
-28.528127,48.047821
-29.054924,48.897477
-29.581564,49.747232
-30.108186,50.596998
-30.634790,51.446775
-31.161376,52.296563
-31.687945,53.146362
-32.214371,53.996250
-32.740779,54.846148
-33.267170,55.696056
-33.793545,56.545975
-34.319903,57.395903
-34.846132,58.245913
-35.372346,59.095933
-35.898543,59.945962
-36.424725,60.796001
-36.950892,61.646049
-37.476943,62.496169
-38.002980,63.346298
-38.529001,64.196436
-39.055008,65.046583
-39.581001,65.896738
-40.106894,66.746957
-40.632772,67.597185
-41.158637,68.447421
-41.684488,69.297665
-42.210326,70.147918
-42.736078,70.998225
-43.261817,71.848540
-43.787543,72.698862
-44.313257,73.549192
-44.838959,74.399530
-45.364588,75.249913
-45.890206,76.100304
-46.415812,76.950702
-46.941406,77.801106
-47.466990,78.651518
-47.992516,79.501967
-48.518031,80.352422
-49.043536,81.202884
-49.569030,82.053352
-50.094514,82.903827
-50.619955,83.754330
-51.145386,84.604838
-51.670808,85.455353
-52.196220,86.305873
-52.721623,87.156399
-53.246998,88.006944
-53.772363,88.857495
-54.297721,89.708051
