# x_m,y_m
-0.227614,2.073105
-0.760000,2.919303
-1.292386,3.765501
-1.824773,4.611699
-2.357159,5.457896
-2.889546,6.304093
-3.421661,7.150459
-3.953776,7.996824
-4.485891,8.843189
-5.018007,9.689554
-5.550122,10.535918
-6.081979,11.382443
-6.613836,12.228967
-7.145693,13.075491
-7.677550,13.922015
-8.209408,14.768539
-8.741020,15.615215
-9.272631,16.461890
-9.804243,17.308565
-10.335855,18.155240
-10.867468,19.001915
-11.398848,19.848733
-11.930228,20.695552
-12.461608,21.542370
-12.992988,22.389188
-13.524369,23.236006
-14.055530,24.082959
-14.586692,24.929911
-15.117854,25.776864
-15.649015,26.623817
-16.180177,27.470769
-16.711133,28.317849
-17.242089,29.164928
-17.773046,30.012007
-18.304002,30.859086
-18.834958,31.706166
-19.365722,32.553363
-19.896486,33.400561
-20.427249,34.247758
-20.958013,35.094955
-21.488777,35.942152
-22.019362,36.789460
-22.549946,37.636768
-23.080531,38.484076
-23.611116,39.331384
-24.141701,40.178691
-24.672120,41.026101
-25.202539,41.873511
-25.732958,42.720921
-26.263377,43.568330
-26.793796,44.415740
-27.324062,45.263243
-27.854328,46.110747
-28.384594,46.958250
-28.914860,47.805754
-29.445126,48.653257
-29.975252,49.500846
-30.505378,50.348436
-31.035504,51.196025
-31.565631,52.043614
-32.095757,52.891204
-32.625757,53.738870
-33.155757,54.586537
-33.685756,55.434203
-34.215756,56.281870
-34.745756,57.129536
-35.275643,57.977272
-35.805529,58.825009
-36.335416,59.672745
-36.865303,60.520481
-37.395190,61.368217
-37.924976,62.216014
-38.454762,63.063811
-38.984549,63.911608
-39.514335,64.759405
-40.044121,65.607202
-40.573821,66.455053
-41.103520,67.302903
-41.633220,68.150753
-42.162919,68.998603
-42.692619,69.846453
-43.222245,70.694349
-43.751870,71.542244
-44.281496,72.390139
-44.811122,73.238034
-45.340747,74.085929
-45.870312,74.933860
-46.399877,75.781792
-46.929442,76.629723
-47.459007,77.477655
-47.988571,78.325587
-48.518089,79.173547
-49.047607,80.021507
-49.577124,80.869467
-50.106642,81.717428
-50.636159,82.565388
-51.165642,83.413368
-51.695126,84.261349
-52.224609,85.109329
-52.754092,85.957310
-53.283575,86.805290
-53.813037,87.653283
-54.342499,88.501275
-54.871961,89.349268
-55.401423,90.197261
-55.930885,91.045253
-56.460339,91.893250
-56.989793,92.741246
-57.519247,93.589243
-58.048701,94.437240
-58.578155,95.285237
-59.107615,96.133229
-59.637074,96.981222
-60.166533,97.829215
-60.695992,98.677207
-61.225451,99.525200
-61.754929,100.373180
-62.284406,101.221160
-62.813884,102.069140
-63.343361,102.917120
-63.872839,103.765101
-64.402348,104.613060
-64.931857,105.461020
-65.461366,106.308979
-65.990875,107.156939
-66.520383,108.004899
-67.049937,108.852829
-67.579491,109.700760
-68.109045,110.548691
-68.638598,111.396622
-69.168152,112.244554
-69.697764,113.092448
-70.227376,113.940342
-70.756987,114.788236
-71.286599,115.636130
-71.816210,116.484025
-72.345893,117.331873
-72.875575,118.179722
-73.405258,119.027571
-73.934940,119.875421
-74.464622,120.723270
-74.994139,121.571222
-75.523162,122.419483
-76.051697,123.268050
-76.579751,124.116917
-77.107332,124.966080
-77.634546,125.815473
-78.161301,126.665152
-78.687604,127.515115
-79.213464,128.365355
-79.738886,129.215869
-80.263991,130.066582
-80.788673,130.917560
-81.312940,131.768799
-81.836799,132.620293
-82.360258,133.472038
-82.883447,134.323952
-83.406250,135.176108
-83.928675,136.028503
-84.450727,136.881130
-84.972416,137.733987
-85.493885,138.586982
-86.015004,139.440196
-86.535781,140.293626
-87.056223,141.147267
-87.576336,142.001115
-88.096279,142.855071
-88.615909,143.709224
-89.135232,144.563570
-89.654256,145.418105
-90.172988,146.272825
-90.691600,147.127621
-91.209935,147.982593
-91.728000,148.837736
-92.245801,149.693045
-92.763347,150.548516
-93.280822,151.404034
-93.798056,152.259705
-94.315056,153.115524
-94.831830,153.971487
-95.348383,154.827590
-95.864917,155.683709
-96.381245,156.539958
-96.897375,157.396334
-97.413315,158.252831
-97.929072,159.109446
-98.444856,159.966046
-98.960472,160.822754
-99.475927,161.679566
-99.991227,162.536477
-100.506380,163.393483
-101.021604,164.250444
-101.536695,165.107490
-102.051661,165.964618
-102.566509,166.821822
-103.081246,167.679098
-103.596074,168.536315
-104.110805,169.393595
-104.625447,170.250933
-105.140006,171.108324
-105.654491,171.965766
-106.169080,172.823139
-106.683608,173.680553
-107.198083,174.538002
-107.712511,175.395482
-108.226901,176.252988
-108.741409,177.110419
-109.255892,177.967866
-109.770357,178.825327
-110.284812,179.682795
-110.799264,180.540268
-111.313848,181.397655
-111.828444,182.255036
-112.343057,183.112407
-112.857696,183.969764
-113.372368,184.827101
-113.887186,185.684345
-114.402050,186.541560
-114.916969,187.398743
-115.431949,188.255887
-115.946997,189.112990
-116.462206,189.969990
-116.977497,190.826939
-117.492878,191.683832
-118.008357,192.540664
-118.523940,193.397431
-119.039696,194.254088
-119.555571,195.110670
-120.071572,195.967174
-120.587707,196.823594
-121.103981,197.679926
-121.620443,198.536139
-122.137059,199.392254
-122.653837,200.248268
-123.170784,201.104176
-123.687907,201.959973
-124.205231,202.815641
-124.722746,203.671190
-125.240458,204.526614
-125.758376,205.381909
-126.276505,206.237070
-126.794849,207.092095
-127.313419,207.946976
-127.832223,208.801711
-128.351268,209.656293
-128.870561,210.510719
-129.390083,211.365000
-129.909867,212.219115
-130.429920,213.073061
-130.950251,213.926831
-131.470865,214.780422
-131.991721,215.633860
-132.512876,216.487109
-133.034336,217.340165
-133.556110,218.193024
-134.078203,219.045680
-134.600552,219.898175
-135.123235,220.750459
-135.646260,221.602527
-136.169634,222.454374
-136.693365,223.305998
-137.217364,224.157451
-137.741734,225.008670
-138.266483,225.859651
-138.791616,226.710389
-139.317141,227.560880
-139.842950,228.411193
-140.369165,229.261249
-140.895795,230.111044
-141.422845,230.960574
-141.950324,231.809835
-142.478100,232.658909
-143.006319,233.507704
-143.534988,234.356216
-144.064115,235.204440
-144.593705,236.052372
-145.123608,236.900109
-145.653989,237.747545
-146.184857,238.594676
-146.716218,239.441496
-147.248081,240.288002
-147.780380,241.134235
-148.313406,241.980012
-148.847144,242.825342
-149.381583,243.670233
-149.916709,244.514692
-150.452306,245.358861
-150.988564,246.202615
-151.525470,247.045962
-152.063013,247.888912
-152.601178,248.731472
-153.139727,249.573796
-153.678872,250.415747
-154.218602,251.257333
-154.758904,252.098562
-155.299763,252.939443
-155.840904,253.780118
-156.382577,254.620461
-156.924771,255.460481
-157.467471,256.300186
-158.010666,257.139583
-158.553906,257.978747
-159.097615,258.817623
-159.641783,259.656220
-160.186394,260.494546
-160.731437,261.332608
-161.275990,262.170673
-161.820950,263.008496
-162.366307,263.846085
-162.912046,264.683449
-163.458156,265.520595
-164.003157,266.358072
-164.548504,267.195352
-165.094187,268.032445
-165.640191,268.869359
-166.186505,269.706102
-166.731092,270.543504
-167.275966,271.380756
-167.821113,272.217868
-168.366522,273.054848
-168.912179,273.891704
-169.455497,274.729555
-169.999041,275.567303
-170.542798,276.404958
-171.086755,277.242527
-171.630899,278.080019
-172.172316,278.919158
-172.713889,279.758229
-173.255606,280.597241
-173.797454,281.436202
-174.339420,282.275119
-174.879680,283.115777
-175.420014,283.956381
-175.960410,284.796939
-176.500856,285.637459
-177.041337,286.477948
-177.582905,287.318790
-178.124466,288.159587
-178.666007,289.000349
-179.207514,289.841083
-179.748974,290.681798
-180.294467,291.521350
-180.839871,292.360869
-181.385172,293.200363
-181.930359,294.039842
-182.475417,294.879314
-183.027456,295.716109
-183.579325,296.552885
-184.131011,297.389652
-184.682503,298.226418
-185.233788,299.063194
-185.794743,299.895382
-186.355466,300.727599
-186.915945,301.559855
-187.476168,302.392160
-188.036123,303.224524
-188.603657,304.049479
-189.171057,304.874743
-189.738309,305.700322
-190.305395,306.526221
-190.872299,307.352447
-191.418220,308.185207
-191.964200,309.018598
-192.510210,309.852626
-193.056221,310.687291
-193.602203,311.522596
-194.084849,312.387480
-194.567679,313.253250
-195.050642,314.119911
-195.533690,314.987465
-196.016771,315.855909
-196.390051,316.769743
-196.763542,317.684687
-197.137170,318.600749
-197.510857,319.517927
-197.884525,320.436210
-198.084117,321.383254
-198.283814,322.331569
-198.483509,323.281162
-198.683090,324.232019
-198.882443,325.184102
-198.837978,326.140526
-198.793177,327.097991
-198.747947,328.056456
-198.702195,329.015853
-198.655836,329.976095
-198.334221,330.914959
-198.012366,331.854346
-197.690236,332.794239
-197.367799,333.734616
-197.045025,334.675450
-196.517581,335.563510
-195.989808,336.451778
-195.461697,337.340232
-194.933243,338.228848
-194.404442,339.117601
-193.756310,339.918356
-193.107724,340.719450
-192.458657,341.520839
-191.809092,342.322468
-191.159021,343.124281
-190.366035,343.669148
-189.572337,344.214404
-188.777836,344.759931
-187.982504,345.305571
-187.186391,345.851156
-186.247160,345.845999
-185.307695,345.840557
-184.368038,345.834810
-183.428236,345.828745
-182.488339,345.822353
-181.543118,345.566622
-180.597953,345.310593
-179.652858,345.054267
-178.707846,344.797643
-177.762931,344.540720
-176.830028,344.217887
-175.897243,343.894757
-174.964586,343.571327
-174.032068,343.247600
-173.099699,342.923575
-172.176696,342.549751
-171.253848,342.175624
-170.331165,341.801194
-169.408652,341.426459
-168.486319,341.051420
-167.570657,340.642673
-166.655167,340.233610
-165.739853,339.824228
-164.824719,339.414526
-163.909771,339.004502
-162.998757,338.576838
-162.087906,338.148832
-161.177220,337.720481
-160.266700,337.291782
-159.356348,336.862731
-158.447314,336.431831
-157.538535,336.000327
-156.630003,335.568229
-155.721713,335.135544
-154.813657,334.702282
-153.905446,334.275955
-152.997457,333.849069
-152.089684,333.421633
-151.182121,332.993657
-150.274760,332.565149
-149.367038,332.142975
-148.459512,331.720289
-147.552176,331.297102
-146.645023,330.873422
-145.738049,330.449259
-144.830600,330.030170
-143.923324,329.610619
-143.016216,329.190616
-142.109270,328.770171
-141.202481,328.349293
-140.295111,327.932230
-139.387896,327.514758
-138.480829,327.096884
-137.573907,326.678620
-136.667123,326.259975
-135.759655,325.843888
-134.852324,325.427444
-133.945126,325.010651
-133.038057,324.593520
-132.131111,324.176060
-131.223388,323.759950
-130.315786,323.343535
-129.408300,322.926823
-128.500928,322.509825
-127.593663,322.092550
-126.685802,321.675862
-125.778047,321.258921
-124.870393,320.841735
-123.962835,320.424316
-123.055369,320.006672
-122.147628,319.589060
-121.239977,319.171247
-120.332412,318.753242
-119.424928,318.335056
-118.517522,317.916699
-117.610163,317.497821
-116.702879,317.078794
-115.795667,316.659629
-114.888522,316.240336
-113.981440,315.820925
-113.074728,315.400440
-112.168077,314.979859
-111.261483,314.559194
-110.354942,314.138453
-109.448450,313.717648
-108.542652,313.295216
-107.636900,312.872743
-106.731192,312.450237
-105.825522,312.027710
-104.919886,311.605171
-104.015268,311.180455
-103.110682,310.755750
-102.206124,310.331066
-101.301590,309.906414
-100.397075,309.481803
-99.493901,309.054463
-98.590745,308.627187
-97.687601,308.199986
-96.784465,307.772869
-95.881332,307.345847
-94.979863,306.915544
-94.078395,306.485359
-93.176923,306.055301
-92.275443,305.625381
-91.373949,305.195607
-90.474438,304.762001
-89.574912,304.328565
-88.675363,303.895310
-87.775788,303.462243
-86.876181,303.029376
-85.978845,302.592111
-85.081472,302.155067
-84.184057,301.718255
-83.286595,301.281684
-82.389081,300.845363
-81.493974,300.404111
-80.598806,299.963130
-79.703571,299.522429
-78.808263,299.082018
-77.912877,298.641906
-77.019975,298.196724
-76.126984,297.751860
-75.233899,297.307324
-74.340713,296.863125
-73.447422,296.419274
-72.556686,295.970318
-71.665833,295.521727
-70.774857,295.073512
-69.883752,294.625682
-68.992511,294.178245
-68.103896,293.725669
-67.215134,293.273506
-66.326219,292.821764
-65.437144,292.370454
-64.547903,291.919583
-63.661357,291.463537
-62.774632,291.007950
-61.887723,290.552831
-61.000621,290.098188
-60.113322,289.644030
-59.228784,289.184660
-58.344034,288.725794
-57.459067,288.267441
-56.573875,287.809608
-55.688451,287.352305
-54.805853,286.889754
-53.923010,286.427751
-53.039914,285.966303
-52.156559,285.505421
-51.272937,285.045111
-50.392204,284.579515
-49.511189,284.114509
-48.629886,283.650103
-47.748287,283.186304
-46.866385,282.723121
-45.987433,282.254611
-45.108162,281.786735
-44.228566,281.319500
-43.348635,280.852914
-42.468362,280.386986
-41.591099,279.915690
-40.713477,279.445068
-39.835491,278.975128
-38.957130,278.505878
-38.078389,278.037326
-37.202887,277.563047
-36.327340,277.088840
-35.451748,276.614703
-34.576111,276.140637
-33.700429,275.666641
-32.828254,275.186515
-31.956035,274.706458
-31.083769,274.226468
-30.211459,273.746546
-29.339102,273.266689
-28.470351,272.780619
-27.601554,272.294614
-26.732712,271.808674
-25.863823,271.322797
-24.994889,270.836983
-24.129657,270.344870
-23.264378,269.852818
-22.399054,269.360827
-21.533684,268.868897
-20.668268,268.377026
-19.806650,267.878771
-18.944986,267.380573
-18.083277,266.882434
-17.221521,266.384352
-16.359719,265.886327
-15.501812,265.381830
-14.643859,264.877388
-13.785860,264.373001
-12.927815,263.868669
-12.069724,263.364389
-11.215625,262.853553
-10.361479,262.342769
-9.507288,261.832036
-8.653050,261.321355
-7.798766,260.810723
-6.948570,260.293448
-6.098328,259.776222
-5.248041,259.259044
-4.397706,258.741914
-3.547326,258.224831
-2.701132,257.701019
-1.854891,257.177252
-1.008604,256.653530
-0.162271,256.129853
0.684108,255.606220
1.526206,255.075771
2.368349,254.545365
3.210538,254.015000
4.052773,253.484677
4.895054,252.954394
5.732959,252.417209
6.570909,251.880063
7.408906,251.342955
8.246948,250.805886
9.085036,250.268854
9.918751,249.724773
10.752512,249.180728
11.586317,248.636719
12.420167,248.092744
13.254062,247.548803
14.083736,246.997854
14.913454,246.446938
15.743214,245.896053
16.573017,245.345201
17.402863,244.794379
18.228677,244.236945
19.054532,243.679541
19.880428,243.122167
20.706364,242.564820
21.532341,242.007502
22.354477,241.443994
23.176651,240.880513
23.998864,240.317058
24.821116,239.753629
25.643405,239.190225
26.462043,238.621054
27.280717,238.051907
28.099428,237.482783
28.918175,236.913683
29.736958,236.344605
30.552279,235.770182
31.367634,235.195781
32.183023,234.621401
32.998446,234.047041
33.813903,233.472702
34.626087,232.893440
35.438304,232.314198
36.250552,231.734975
37.062831,231.155769
37.875141,230.576582
38.684369,229.992896
39.493626,229.409226
40.302912,228.825574
41.112227,228.241937
41.921571,227.658316
42.728022,227.070619
