# x_m,y_m
1.168727,-1.546157
1.830129,-2.295585
2.491692,-3.044879
3.153413,-3.794039
3.815292,-4.543068
4.477326,-5.291968
5.138325,-6.041803
5.799474,-6.791512
6.460772,-7.541098
7.122217,-8.290562
7.783807,-9.039906
8.444445,-9.790116
9.105224,-10.540210
9.766142,-11.290190
10.427196,-12.040058
11.088385,-12.789816
11.748705,-13.540370
12.409156,-14.290817
13.069735,-15.041160
13.730441,-15.791399
14.391271,-16.541538
15.051315,-17.292404
15.711480,-18.043171
16.371762,-18.793844
17.032160,-19.544422
17.692672,-20.294909
18.352483,-21.046053
19.012402,-21.797109
19.672429,-22.548078
20.332561,-23.298963
20.992796,-24.049764
21.652412,-24.801153
22.312127,-25.552463
22.971939,-26.303694
23.631845,-27.054850
24.291844,-27.805932
24.951307,-28.557532
25.610857,-29.309061
26.270494,-30.060521
26.930215,-30.811914
27.590017,-31.563242
28.249366,-32.315018
28.908792,-33.066731
29.568294,-33.818384
30.227868,-34.569979
30.887513,-35.321518
31.546788,-36.073434
32.206129,-36.825297
32.865534,-37.577108
33.525002,-38.328870
34.184529,-39.080584
34.843769,-39.832605
35.503064,-40.584581
36.162413,-41.336515
36.821812,-42.088407
37.481261,-42.840261
38.140505,-43.592350
38.799793,-44.344404
39.459124,-45.096424
40.118494,-45.848411
40.777903,-46.600367
41.437190,-47.352489
42.096510,-48.104583
42.755861,-48.856652
43.415241,-49.608697
44.074649,-50.360720
44.734016,-51.112838
45.393406,-51.864937
46.052816,-52.617019
46.712245,-53.369086
47.371689,-54.121139
48.031176,-54.873216
48.690675,-55.625283
49.350183,-56.377341
50.009698,-57.129393
50.669218,-57.881439
51.328857,-58.633431
51.988496,-59.385421
52.648133,-60.137411
53.307767,-60.889402
53.967394,-61.641397
54.627180,-62.393265
55.286956,-63.145140
55.946719,-63.897025
56.606469,-64.648919
57.266201,-65.400826
57.926079,-66.152611
58.585937,-66.904412
59.245771,-67.656230
59.905581,-68.408068
60.565364,-69.159928
61.225270,-69.911684
61.885144,-70.663465
62.544986,-71.415273
63.204792,-72.167110
63.864561,-72.918978
64.524430,-73.670761
65.184257,-74.422578
65.844041,-75.174432
66.503780,-75.926323
67.163470,-76.678254
67.823239,-77.430119
68.482956,-78.182028
69.142618,-78.933982
69.802225,-79.685983
70.461773,-80.438032
71.121377,-81.190035
71.780919,-81.942090
72.440396,-82.694200
73.099806,-83.446365
73.759148,-84.198589
74.418523,-84.950784
75.077826,-85.703041
75.737053,-86.455362
76.396203,-87.207747
77.055274,-87.960200
77.714357,-88.712643
78.373356,-89.465158
79.032270,-90.217744
79.691096,-90.970405
80.349832,-91.723142
81.008558,-92.475889
81.667189,-93.228716
82.325725,-93.981624
82.984162,-94.734616
83.642500,-95.487693
84.300804,-96.240798
84.959004,-96.993993
85.617098,-97.747278
86.275083,-98.500656
86.932957,-99.254128
87.590776,-100.007647
88.248481,-100.761265
88.906068,-101.514982
89.563536,-102.268801
90.220883,-103.022723
90.878153,-103.776711
91.535297,-104.530807
92.192314,-105.285011
92.849201,-106.039326
93.505957,-106.793754
94.162613,-107.548267
94.819133,-108.302896
95.475515,-109.057643
96.131757,-109.812510
96.787857,-110.567499
97.443835,-111.322591
98.099666,-112.077809
98.755349,-112.833153
99.410882,-113.588627
100.066261,-114.344231
100.721568,-115.099897
101.376860,-115.855575
102.032138,-116.611266
102.687402,-117.366968
103.342651,-118.122683
103.997885,-118.878411
104.653103,-119.634152
105.308306,-120.389905
105.963494,-121.145672
106.618666,-121.901452
107.273810,-122.657256
107.928938,-123.413073
108.584050,-124.168904
109.239146,-124.924749
109.894225,-125.680608
110.549263,-126.436502
111.204285,-127.192410
111.859289,-127.948333
112.514276,-128.704271
113.169246,-129.460224
113.824165,-130.216220
114.479066,-130.972232
115.133950,-131.728259
115.788815,-132.484302
116.443662,-133.240361
117.098454,-133.996467
117.753228,-134.752589
118.407983,-135.508728
119.062718,-136.264883
119.717434,-137.021055
120.372094,-137.777276
121.026733,-138.533514
121.681352,-139.289770
122.335952,-140.046042
122.990531,-140.802333
123.645050,-141.558675
124.299549,-142.315035
124.954027,-143.071412
125.608483,-143.827808
126.262919,-144.584223
126.917292,-145.340691
127.571643,-146.097178
128.225973,-146.853684
128.880281,-147.610209
129.534566,-148.366753
130.188786,-149.123353
130.842984,-149.879973
131.497158,-150.636612
132.151310,-151.393271
132.805438,-152.149950
133.459499,-152.906688
134.113537,-153.663445
134.767550,-154.420223
135.421540,-155.177022
136.075505,-155.933842
136.729400,-156.690722
137.383270,-157.447624
138.037115,-158.204547
138.690936,-158.961491
139.344731,-159.718457
139.998454,-160.475486
140.652151,-161.232536
141.305822,-161.989609
141.959467,-162.746704
142.613086,-163.503822
143.266630,-164.261005
143.920146,-165.018210
144.573637,-165.775439
145.227100,-166.532690
145.880536,-167.289965
146.533894,-168.047307
147.187224,-168.804673
147.840526,-169.562063
148.493801,-170.319476
149.147048,-171.076914
149.800213,-171.834421
150.453350,-172.591953
151.106459,-173.349509
151.759539,-174.107090
152.412589,-174.864696
153.065556,-175.622373
153.718494,-176.380076
154.371402,-177.137804
155.024280,-177.895558
155.677128,-178.653338
156.329889,-179.411191
156.982620,-180.169071
157.635321,-180.926977
158.287991,-181.684910
158.940630,-182.442869
159.593179,-183.200904
160.245698,-183.958966
160.898184,-184.717055
161.550640,-185.475171
162.203063,-186.233315
162.855394,-186.991537
163.507693,-187.749787
164.159959,-188.508065
164.812193,-189.266371
165.464394,-190.024705
166.116500,-190.783120
166.768573,-191.541563
167.420613,-192.300035
168.072618,-193.058536
168.724590,-193.817066
169.376465,-194.575679
170.028306,-195.334321
170.680112,-196.092993
171.331883,-196.851694
171.983620,-197.610426
172.635257,-198.369242
173.286858,-199.128088
173.938424,-199.886965
174.589954,-200.645872
175.241449,-201.404810
175.892841,-202.163836
176.544196,-202.922892
177.195516,-203.681980
177.846798,-204.441099
178.498044,-205.200249
179.149185,-205.959489
179.800288,-206.718760
180.451354,-207.478064
181.102383,-208.237400
181.753374,-208.996768
182.404256,-209.756228
183.055101,-210.515720
183.705907,-211.275245
184.356675,-212.034804
185.007404,-212.794395
185.658022,-213.554080
186.308601,-214.313799
186.959141,-215.073551
187.609641,-215.833338
188.260101,-216.593158
188.910449,-217.353074
189.560756,-218.113025
190.211022,-218.873010
190.861249,-219.633029
191.511434,-220.393084
192.161504,-221.153237
192.811532,-221.913424
193.461519,-222.673647
194.111465,-223.433906
194.761369,-224.194200
195.411154,-224.954595
196.060897,-225.715025
196.710598,-226.475492
197.360256,-227.235994
198.009872,-227.996534
198.659247,-228.757277
199.308342,-229.518260
199.957160,-230.279478
200.605705,-231.040928
201.253982,-231.802608
201.901912,-232.564582
202.549580,-233.326779
203.196989,-234.089196
203.844144,-234.851831
204.491047,-235.614679
205.137621,-236.377807
205.783950,-237.141143
206.430039,-237.904684
207.075890,-238.668426
207.721508,-239.432367
208.366812,-240.196574
209.011890,-240.960974
209.656745,-241.725563
210.301381,-242.490339
210.945801,-243.255298
211.589924,-244.020508
212.233838,-244.785896
212.877547,-245.551458
213.521055,-246.317191
214.164365,-247.083092
214.807394,-247.849231
215.450232,-248.615532
216.092883,-249.381992
216.735350,-250.148607
217.377638,-250.915375
218.019661,-251.682367
218.661510,-252.449505
219.303191,-253.216787
219.944706,-253.984209
220.586058,-254.751769
221.227162,-255.519539
221.868111,-256.287439
222.508909,-257.055468
223.149559,-257.823622
223.790064,-258.591898
224.430337,-259.360370
225.070473,-260.128958
225.710475,-260.897658
226.350348,-261.666469
226.990094,-262.435386
227.629624,-263.204485
228.269035,-263.973685
228.908330,-264.742982
229.547513,-265.512374
230.186587,-266.281857
230.825462,-267.051508
231.464235,-267.821244
232.102910,-268.591063
232.741492,-269.360961
233.379982,-270.130934
234.018289,-270.901062
234.656513,-271.671260
235.294657,-272.441525
235.932724,-273.211854
236.570719,-273.982244
237.208546,-274.752774
237.846308,-275.523358
238.484008,-276.293994
239.121649,-277.064678
239.759236,-277.835408
240.396671,-278.606265
241.034059,-279.377161
241.671402,-280.148093
242.308706,-280.919059
242.945972,-281.690054
243.583103,-282.461162
244.220205,-283.232295
244.857280,-284.003448
245.494333,-284.774619
246.131367,-285.545805
246.768282,-286.317090
247.405186,-287.088384
248.042081,-287.859683
248.678972,-288.630985
249.315862,-289.402287
249.952649,-290.173674
250.589442,-290.945054
251.226245,-291.716424
251.863062,-292.487783
252.499896,-293.259125
253.136643,-294.030539
253.773414,-294.801930
254.410213,-295.573297
255.047043,-296.344637
255.683909,-297.115945
256.320704,-297.887310
256.957541,-298.658639
257.594424,-299.429927
258.231357,-300.201173
258.868342,-300.972372
259.505273,-301.743615
260.142265,-302.514805
260.779320,-303.285941
261.416442,-304.057018
262.053636,-304.828034
262.690791,-305.599079
263.328025,-306.370057
263.965340,-307.140965
264.602741,-307.911799
265.240231,-308.682557
265.877698,-309.453330
266.515262,-310.224020
267.152926,-310.994625
267.790693,-311.765142
268.428568,-312.535566
269.066436,-313.305993
269.704419,-314.076321
270.342519,-314.846549
270.980741,-315.616673
271.619088,-316.386690
272.257446,-317.156695
272.895936,-317.926588
273.534561,-318.696364
274.173327,-319.466021
274.812235,-320.235557
275.451170,-321.005066
276.090255,-321.774447
276.729494,-322.543697
277.368891,-323.312813
278.008449,-324.081791
278.648050,-324.850730
279.287819,-325.619526
279.927760,-326.388176
280.567877,-327.156676
281.208173,-327.925024
281.848528,-328.693319
282.489070,-329.461455
283.129802,-330.229430
283.770727,-330.997240
284.411849,-331.764883
285.053047,-332.532459
285.694450,-333.299861
286.336060,-334.067086
286.977883,-334.834132
287.619920,-335.600996
288.262050,-336.367779
288.904402,-337.134373
289.546980,-337.900775
290.189787,-338.666983
290.832828,-339.432994
291.475978,-340.198909
292.119369,-340.964621
292.763003,-341.730126
293.406886,-342.495421
294.051020,-343.260504
294.695369,-344.025401
295.340153,-344.789931
295.985366,-345.554099
296.631002,-346.317909
297.277055,-347.081367
297.923389,-347.844585
298.570128,-348.607461
299.217267,-349.369998
299.864802,-350.132202
300.512725,-350.894078
