# x_m,y_m
-1.932645,-4.250139
-1.275077,-5.001168
-0.617506,-5.752197
0.040065,-6.503228
0.697639,-7.254258
1.355213,-8.005289
2.011667,-8.757459
2.668122,-9.509630
3.324578,-10.261801
3.981035,-11.013973
4.637494,-11.766145
5.292926,-12.519378
5.948359,-13.272612
6.603793,-14.025846
7.259229,-14.779081
7.914665,-15.532317
8.569170,-16.286535
9.223675,-17.040754
9.878181,-17.794974
10.532688,-18.549194
11.187196,-19.303414
11.840865,-20.058540
12.494536,-20.813666
13.148207,-21.568793
13.801879,-22.323920
14.455552,-23.079047
15.108481,-23.835002
15.761411,-24.590958
16.414341,-25.346914
17.067272,-26.102870
17.720204,-26.858827
18.372486,-27.615533
19.024768,-28.372240
19.677051,-29.128947
20.329335,-29.885654
20.981620,-30.642361
21.633348,-31.399741
22.285078,-32.157121
22.936807,-32.914501
23.588538,-33.671882
24.240269,-34.429263
24.891538,-35.187237
25.542807,-35.945211
26.194077,-36.703185
26.845348,-37.461160
27.496618,-38.219136
28.147522,-38.977627
28.798426,-39.736118
29.449330,-40.494610
30.100235,-41.253102
30.751140,-42.011594
31.401772,-42.770524
32.052404,-43.529454
32.703036,-44.288385
33.353669,-45.047315
34.004302,-45.806246
34.654756,-46.565536
35.305211,-47.324827
35.955666,-48.084118
36.606120,-48.843408
37.256575,-49.602699
37.906946,-50.362271
38.557316,-51.121843
39.207687,-51.881415
39.858058,-52.640988
40.508428,-53.400560
41.158809,-54.160336
41.809190,-54.920112
42.459571,-55.679889
43.109952,-56.439665
43.760333,-57.199441
44.410818,-57.959343
45.061303,-58.719244
45.711788,-59.479145
46.362274,-60.239046
47.012759,-60.998947
47.663416,-61.758865
48.314073,-62.518782
48.964731,-63.278699
49.615388,-64.038616
50.266045,-64.798533
50.916868,-65.558319
51.567692,-66.318104
52.218515,-67.077890
52.869339,-67.837675
53.520162,-68.597460
54.171139,-69.357097
54.822116,-70.116733
55.473093,-70.876370
56.124069,-71.636006
56.775046,-72.395643
57.426164,-73.155140
58.077282,-73.914637
58.728400,-74.674133
59.379517,-75.433630
60.030635,-76.193127
60.681883,-76.952495
61.333130,-77.711863
61.984378,-78.471231
62.635625,-79.230598
63.286872,-79.989966
63.938238,-80.749214
64.589603,-81.508462
65.240968,-82.267710
65.892334,-83.026958
66.543699,-83.786206
67.195170,-84.545344
67.846641,-85.304482
68.498112,-86.063620
69.149583,-86.822758
69.801055,-87.581896
70.452620,-88.340934
71.104185,-89.099972
71.755751,-89.859010
72.407316,-90.618047
73.058882,-91.377085
73.710529,-92.136032
74.362177,-92.894979
75.013825,-93.653926
75.665472,-94.412873
76.317120,-95.171820
76.968838,-95.930686
77.620556,-96.689553
78.272275,-97.448419
78.923993,-98.207285
79.575711,-98.966151
80.227488,-99.724947
80.879265,-100.483742
81.531042,-101.242537
82.182819,-102.001332
82.834596,-102.760127
83.486420,-103.518861
84.138244,-104.277595
84.790067,-105.036329
85.441891,-105.795063
86.093715,-106.553796
86.745574,-107.312478
87.397433,-108.071160
88.049292,-108.829842
88.701151,-109.588524
89.353010,-110.347206
90.004892,-111.105846
90.656775,-111.864486
91.308657,-112.623126
91.960539,-113.381767
92.612422,-114.140407
93.264316,-114.899015
93.916209,-115.657623
94.568103,-116.416231
95.219997,-117.174839
95.871891,-117.933447
96.523784,-118.692033
97.175678,-119.450618
