# x_m,y_m
-1.048982,-3.479703
-0.390966,-4.230838
0.267052,-4.981973
0.925072,-5.733108
1.583095,-6.484243
2.241119,-7.235379
2.898005,-7.987631
3.554893,-8.739883
4.211782,-9.492136
4.868674,-10.244389
5.525567,-10.996641
6.181416,-11.749933
6.837266,-12.503225
7.493119,-13.256517
8.148973,-14.009809
8.804829,-14.763101
9.459734,-15.517354
10.114641,-16.271608
10.769550,-17.025861
11.424460,-17.780115
12.079373,-18.534368
12.733428,-19.289505
13.387485,-20.044641
14.041543,-20.799778
14.695603,-21.554914
15.349665,-22.310051
16.002964,-23.065993
16.656264,-23.821935
17.309566,-24.577877
17.962870,-25.333820
18.616174,-26.089762
19.268811,-26.846431
19.921449,-27.603100
20.574088,-28.359769
21.226728,-29.116438
21.879369,-29.873107
22.531437,-30.630426
23.183505,-31.387745
23.835575,-32.145063
24.487646,-32.902382
25.139718,-33.659700
25.791310,-34.417589
26.442903,-35.175479
27.094497,-35.933368
27.746092,-36.691257
28.397688,-37.449146
29.048898,-38.207528
29.700110,-38.965910
30.351322,-39.724293
31.002535,-40.482675
31.653748,-41.241057
32.304671,-41.999854
32.955594,-42.758651
33.606518,-43.517448
34.257443,-44.276244
34.908369,-45.035041
35.559097,-45.794175
36.209826,-46.553308
36.860556,-47.312441
37.511287,-48.071574
38.162018,-48.830707
38.812646,-49.590098
39.463274,-50.349489
40.113903,-51.108880
40.764533,-51.868271
41.415163,-52.627661
42.065785,-53.387232
42.716407,-54.146804
43.367029,-54.906374
44.017652,-55.665945
44.668276,-56.425515
45.318985,-57.185188
45.969694,-57.944860
46.620404,-58.704532
47.271114,-59.464204
47.921825,-60.223875
48.572694,-60.983545
49.223563,-61.743215
49.874432,-62.502885
50.525302,-63.262554
51.176172,-64.022223
51.827209,-64.781760
52.478246,-65.541296
53.129283,-66.300832
53.780320,-67.060368
54.431358,-67.819903
55.082552,-68.579292
55.733746,-69.338681
56.384940,-70.098070
57.036135,-70.857458
57.687329,-71.616845
58.338668,-72.376097
58.990007,-73.135347
59.641346,-73.894597
60.292686,-74.653847
60.944025,-75.413097
61.595498,-76.172220
62.246970,-76.931343
62.898442,-77.690466
63.549915,-78.449589
64.201388,-79.208711
64.852982,-79.967716
65.504575,-80.726721
66.156169,-81.485725
66.807763,-82.244730
67.459358,-83.003733
68.111060,-83.762630
68.762764,-84.521527
69.414467,-85.280424
70.066170,-86.039320
70.717874,-86.798215
71.369674,-87.557014
72.021475,-88.315812
72.673276,-89.074610
73.325077,-89.833408
73.976878,-90.592205
74.628764,-91.350915
75.280650,-92.109624
75.932536,-92.868334
76.584423,-93.627043
77.236309,-94.385751
77.888269,-95.144382
78.540229,-95.903013
79.192189,-96.661644
79.844149,-97.420274
80.496109,-98.178904
81.148131,-98.937466
81.800153,-99.696028
82.452175,-100.454590
83.104196,-101.213151
83.756218,-101.971712
84.408290,-102.730215
85.060361,-103.488718
85.712433,-104.247221
86.364505,-105.005723
87.016576,-105.764226
87.668686,-106.522679
88.320795,-107.281132
88.972905,-108.039585
89.625014,-108.798038
90.277124,-109.556491
90.929260,-110.314905
91.581395,-111.073319
92.233531,-111.831734
92.885666,-112.590148
93.537802,-113.348561
94.189952,-114.106946
94.842101,-114.865331
95.494251,-115.623715
96.146401,-116.382099
96.798551,-117.140484
97.450703,-117.898848
98.102854,-118.657213
98.755006,-119.415577
99.407158,-120.173942
100.059310,-120.932306
100.711452,-121.690661
101.363594,-122.449016
102.015736,-123.207371
102.667878,-123.965725
103.320020,-124.724080
103.972141,-125.482435
104.624261,-126.240789
105.276382,-126.999144
105.928502,-127.757498
106.580623,-128.515853
107.232712,-129.274220
107.884801,-130.032587
108.536890,-130.790954
109.188980,-131.549321
109.841069,-132.307689
110.493122,-133.066082
111.145176,-133.824475
111.797230,-134.582868
112.449283,-135.341262
113.101337,-136.099655
113.753353,-136.858079
114.405370,-137.616502
115.057386,-138.374926
115.709402,-139.133350
116.361418,-139.891774
117.013395,-140.650229
117.665372,-141.408684
118.317349,-142.167140
118.969326,-142.925595
119.621302,-143.684051
120.273238,-144.442539
120.925174,-145.201028
121.577110,-145.959517
122.229046,-146.718006
122.880981,-147.476495
123.532874,-148.235018
124.184767,-148.993542
124.836660,-149.752065
125.488553,-150.510589
126.140446,-151.269113
126.792294,-152.027673
127.444143,-152.786232
128.095991,-153.544792
128.747839,-154.303353
129.399686,-155.061913
130.051488,-155.820510
130.703290,-156.579108
131.355092,-157.337705
132.006893,-158.096303
132.658694,-158.854901
133.310448,-159.613538
133.962201,-160.372175
134.613954,-161.130812
135.265707,-161.889449
135.917460,-162.648087
136.569163,-163.406764
137.220867,-164.165442
137.872570,-164.924120
138.524272,-165.682798
139.175975,-166.441476
139.827626,-167.200196
140.479277,-167.958916
141.130928,-168.717636
141.782578,-169.476356
142.434229,-170.235077
143.085826,-170.993841
143.737424,-171.752605
144.389021,-172.511369
145.040617,-173.270134
145.692214,-174.028899
146.343756,-174.787708
146.995298,-175.546517
147.646839,-176.305326
148.298380,-177.064136
148.949921,-177.822946
149.601405,-178.581801
150.252889,-179.340657
150.904373,-180.099513
151.555856,-180.858369
152.207339,-181.617226
152.858764,-182.376130
153.510189,-183.135035
154.161614,-183.893940
154.813038,-184.652845
155.464462,-185.411751
156.115826,-186.170704
156.767189,-186.929658
157.418552,-187.688613
158.069915,-188.447568
158.721278,-189.206523
