# x_m,y_m
0.712361,-1.944047
1.369530,-2.696907
2.027455,-3.449111
2.686124,-4.200668
3.345528,-4.951587
4.005657,-5.701880
4.665322,-6.452629
5.325692,-7.202770
5.986757,-7.952314
6.648506,-8.701270
7.310929,-9.449649
7.972932,-10.198454
8.635588,-10.946701
9.298887,-11.694399
9.962820,-12.441557
10.627376,-13.188187
11.291553,-13.935212
11.956332,-14.681728
12.621703,-15.427742
13.287655,-16.173265
13.954179,-16.918306
14.620365,-17.663712
15.287101,-18.408655
15.954376,-19.153145
16.622180,-19.897190
17.290503,-20.640801
17.958529,-21.384745
18.627052,-22.128272
19.296062,-22.871393
19.965549,-23.614116
20.635501,-24.356452
21.305196,-25.099086
21.975335,-25.841351
22.645907,-26.583255
23.316903,-27.324808
23.988311,-28.066020
24.659501,-28.807497
25.331082,-29.548649
26.003042,-30.289487
26.675373,-31.030020
27.348062,-31.770257
28.020571,-32.510724
28.693417,-33.250913
29.366590,-33.990832
30.040078,-34.730491
30.713871,-35.469900
31.387522,-36.209504
32.061456,-36.948875
32.735662,-37.688022
33.410129,-38.426954
34.084847,-39.165680
34.759462,-39.904565
35.434305,-40.643262
36.109365,-41.381780
36.784632,-42.120128
37.460096,-42.858316
38.135493,-43.596625
38.811064,-44.334791
39.486798,-45.072823
40.162685,-45.810729
40.838713,-46.548520
41.514712,-47.286396
42.190830,-48.024172
42.867057,-48.761859
43.543381,-49.499465
44.219792,-50.236999
44.896211,-50.974583
45.572694,-51.712112
46.249231,-52.449596
46.925811,-53.187043
47.602423,-53.924462
48.279080,-54.661894
48.955747,-55.399315
49.632412,-56.136736
50.309065,-56.874164
50.985696,-57.611609
51.662404,-58.349023
52.339066,-59.086472
53.015673,-59.823964
53.692214,-60.561509
54.368677,-61.299115
55.045218,-62.036661
55.721661,-62.774286
56.397995,-63.512001
57.074209,-64.249814
57.750292,-64.987734
58.426398,-65.725636
59.102353,-66.463664
59.778145,-67.201827
60.453763,-67.940135
61.129198,-68.678595
61.804591,-69.417094
62.479778,-70.155764
63.154750,-70.894615
63.829495,-71.633657
64.504002,-72.372898
65.178403,-73.112234
65.852546,-73.851787
66.526419,-74.591567
67.200012,-75.331584
67.873314,-76.071846
68.546445,-76.812258
69.219265,-77.552934
69.891761,-78.293884
70.563925,-79.035116
71.235744,-79.776639
71.907326,-80.518368
72.578544,-81.260408
73.249385,-82.002766
73.919840,-82.745453
74.589898,-83.488478
75.259654,-84.231765
75.928992,-84.975407
76.597901,-85.719416
77.266369,-86.463798
77.934387,-87.208565
78.602039,-87.953649
79.269219,-88.699136
79.935917,-89.445034
80.602121,-90.191352
81.267821,-90.938101
81.933090,-91.685223
82.597833,-92.432793
83.262041,-93.180821
83.925702,-93.929315
84.588806,-94.678286
85.251414,-95.427686
85.913443,-96.177580
86.574883,-96.927978
87.235722,-97.678889
87.895952,-98.430321
88.555619,-99.182239
89.214655,-99.934697
89.873048,-100.687704
90.530788,-101.441271
91.187864,-102.195405
91.844313,-102.950080
92.500077,-103.705341
93.155146,-104.461198
93.809507,-105.217660
94.463150,-105.974735
95.116103,-106.732408
95.768316,-107.490712
96.419780,-108.249658
97.070483,-109.009254
97.720416,-109.769511
98.369591,-110.530419
99.017975,-111.292005
99.665555,-112.054279
100.312321,-112.817249
100.958263,-113.580925
101.603705,-114.345032
102.248955,-115.109305
102.894015,-115.873739
103.538888,-116.638334
104.183577,-117.403086
104.828084,-118.167997
105.472413,-118.933061
106.116565,-119.698275
106.760543,-120.463639
107.404350,-121.229149
108.047977,-121.994815
108.691439,-122.760624
109.334737,-123.526571
109.977875,-124.292657
110.620854,-125.058877
111.263655,-125.825252
111.906304,-126.591757
112.548802,-127.358391
113.191153,-128.125150
113.833359,-128.892033
114.475390,-129.659067
115.117282,-130.426219
115.759037,-131.193489
116.400657,-131.960873
117.042146,-132.728369
117.683471,-133.496007
118.324669,-134.263752
118.965743,-135.031604
119.606696,-135.799558
120.247531,-136.567613
120.888213,-137.335800
121.528781,-138.104083
122.169239,-138.872460
122.809589,-139.640929
123.449835,-140.409488
124.089938,-141.178168
124.729942,-141.946933
125.369848,-142.715781
126.009660,-143.484710
126.649380,-144.253717
127.288970,-145.022835
127.928473,-145.792027
128.567892,-146.561291
129.207230,-147.330624
129.846489,-148.100023
130.485629,-148.869525
131.124696,-149.639088
131.763692,-150.408711
132.402620,-151.178393
133.041482,-151.948130
133.680238,-152.717958
134.318933,-153.487837
134.957571,-154.257765
135.596153,-155.027740
136.234684,-155.797759
136.873118,-156.567859
137.511506,-157.337999
138.149850,-158.108177
138.788151,-158.878389
139.426414,-159.648635
140.064593,-160.418952
140.702738,-161.189297
141.340851,-161.959668
141.978937,-162.730064
142.616996,-163.500480
143.254983,-164.270959
143.892949,-165.041454
144.530898,-165.811964
145.168831,-166.582486
145.806752,-167.353019
146.444611,-168.123603
147.082464,-168.894193
147.720311,-169.664786
148.358157,-170.435381
148.996003,-171.205974
149.633800,-171.976609
150.271603,-172.747238
150.909414,-173.517859
151.547237,-174.288470
152.185073,-175.059068
152.822872,-175.829698
153.460690,-176.600311
154.098529,-177.370905
154.736393,-178.141478
155.374284,-178.912026
156.012149,-179.682596
