# x_m,y_m
-1.170653,-2.080462
-0.803644,-1.150346
-0.436934,-0.220111
-0.070520,0.710241
0.295605,1.640706
0.661447,2.571284
1.027041,3.501955
1.392363,4.432734
1.757419,5.363618
2.122213,6.294605
2.486751,7.225694
2.851062,8.156867
3.215128,9.088137
3.578956,10.019501
3.942550,10.950957
4.305917,11.882503
4.669076,12.814126
5.032019,13.745834
5.394751,14.677625
5.757278,15.609498
6.119605,16.541449
6.481745,17.473468
6.843696,18.405562
7.205464,19.337727
7.567055,20.269963
7.928474,21.202267
8.289725,22.134629
8.650816,23.067056
9.011752,23.999543
9.372539,24.932090
9.733181,25.864693
10.093676,26.797347
10.454039,27.730052
10.814274,28.662808
11.174388,29.595612
11.534387,30.528462
11.894257,31.461354
12.254023,32.394286
12.613690,33.327258
12.973264,34.260267
13.332749,35.193310
13.692127,36.126387
14.051428,37.059493
14.410657,37.992628
14.769821,38.925788
15.128926,39.858972
15.487942,40.792181
15.846910,41.725408
16.205834,42.658653
16.564721,43.591912
16.923576,44.525183
17.282363,45.458471
17.641129,46.391766
17.999880,47.325068
18.358621,48.258373
18.717359,49.191679
19.076048,50.124993
19.434744,51.058303
19.793453,51.991608
20.152180,52.924906
20.510932,53.858194
20.869655,54.791481
21.228413,55.724754
21.587212,56.658010
21.946057,57.591248
22.304954,58.524465
22.663843,59.457673
23.022795,60.390855
23.381815,61.324009
23.740910,62.257134
24.100085,63.190228
24.459271,64.123302
24.818548,65.056340
25.177922,65.989340
25.537399,66.922299
25.896983,67.855216
26.256600,68.788105
26.616337,69.720946
26.976198,70.653739
27.336189,71.586479
27.696316,72.519166
28.056507,73.451814
28.416845,74.384404
28.777335,75.316933
29.137984,76.249400
29.498797,77.181803
29.859705,78.114154
30.220789,79.046437
30.582053,79.978648
30.943503,80.910786
31.305146,81.842848
31.666916,82.774848
32.028889,83.706769
32.391071,84.638607
32.753467,85.570360
33.116083,86.502027
33.478859,87.433621
33.841866,88.365124
34.205110,89.296533
34.568596,90.227847
34.932329,91.159063
35.296256,92.090195
35.660441,93.021225
36.024891,93.952150
36.389611,94.882969
36.754607,95.813680
37.119696,96.744346
37.484807,97.675004
37.849939,98.605653
38.215092,99.536294
38.580267,100.466927
38.945411,101.397565
39.310577,102.328194
39.675765,103.258815
40.040975,104.189428
40.406206,105.120031
40.771412,106.050640
41.136639,106.981240
41.501889,107.911831
41.867162,108.842414
42.232456,109.772988
42.597730,110.703566
42.963026,111.634135
43.328344,112.564696
43.693686,113.495247
44.059050,114.425790
44.424398,115.356336
44.789769,116.286873
45.155163,117.217401
45.520581,118.147919
45.886022,119.078429
46.251450,120.008942
46.616903,120.939445
46.982379,121.869939
47.347879,122.800424
47.713403,123.730900
48.078919,124.661378
48.444460,125.591846
48.810024,126.522305
49.175614,127.452755
49.541227,128.383194
49.906838,129.313636
50.272473,130.244069
50.638132,131.174491
51.003817,132.104904
51.369526,133.035307
51.735237,133.965711
52.100974,134.896106
52.466735,135.826490
52.832522,136.756865
53.198334,137.687230
53.564152,138.617595
53.929996,139.547951
54.295866,140.478297
54.661762,141.408632
55.027683,142.338957
55.393616,143.269282
55.759574,144.199598
56.125559,145.129902
56.491570,146.060197
56.857607,146.990481
57.223660,147.920764
57.589740,148.851038
57.955846,149.781300
58.321978,150.711553
58.688138,151.641794
59.054318,152.572035
59.420525,153.502265
59.786759,154.432485
60.153020,155.362693
60.519309,156.292891
60.885623,157.223088
61.251964,158.153273
61.618332,159.083447
61.984728,160.013611
62.351152,160.943764
62.717606,161.873914
63.084088,162.804054
