# x_m,y_m
-0.624109,-2.296084
-0.258627,-1.365370
0.106795,-0.434631
0.472156,0.496132
0.837458,1.426918
1.202701,2.357727
1.567917,3.288544
1.933076,4.219384
2.298179,5.150246
2.663226,6.081131
3.028217,7.012037
3.393178,7.942951
3.758084,8.873888
4.122937,9.804845
4.487738,10.735823
4.852487,11.666821
5.217201,12.597829
5.581864,13.528857
5.946478,14.459905
6.311042,15.390972
6.675559,16.322058
7.040035,17.253155
7.404464,18.184270
7.768847,19.115404
8.133185,20.046555
8.497478,20.977725
8.861725,21.908906
9.225930,22.840105
9.590091,23.771320
9.954211,24.702552
10.318289,25.633801
10.682318,26.565062
11.046307,27.496339
11.410257,28.427631
11.774168,29.358939
12.138042,30.290261
12.501861,31.221598
12.865644,32.152949
13.229392,33.084315
13.593104,34.015694
13.956782,34.947086
14.320401,35.878494
14.683987,36.809915
15.047540,37.741348
15.411063,38.672793
15.774554,39.604251
16.137982,40.535725
16.501381,41.467211
16.864750,42.398708
17.228092,43.330216
17.591406,44.261734
17.954653,45.193270
18.317873,46.124816
18.681068,47.056372
19.044239,47.987938
19.407385,48.919513
19.770459,49.851106
20.133511,50.782708
20.496540,51.714319
20.859549,52.645938
21.222537,53.577565
21.585448,54.509211
21.948340,55.440864
22.311213,56.372525
22.674069,57.304193
23.036908,58.235867
23.399665,59.167561
23.762406,60.099262
24.125133,61.030968
24.487845,61.962680
24.850544,62.894397
25.213157,63.826134
25.575757,64.757877
25.938346,65.689624
26.300925,66.621375
26.663493,67.553129
27.025971,68.484904
27.388442,69.416683
27.750904,70.348464
28.113358,71.280248
28.475806,72.212034
28.838171,73.143839
29.200530,74.075646
29.562885,75.007455
29.925236,75.939265
30.287584,76.871076
30.649855,77.802903
31.012125,78.734731
31.374394,79.666560
31.736663,80.598388
32.098932,81.530216
32.461133,82.462059
32.823335,83.393902
33.185540,84.325743
33.547748,85.257583
33.909959,86.189421
34.272110,87.121272
34.634267,88.053121
34.996429,88.984968
35.358598,89.916811
35.720774,90.848652
36.082897,91.780504
36.445029,92.712353
36.807171,93.644198
37.169322,94.576039
37.531485,95.507875
37.893601,96.439721
38.255730,97.371562
38.617872,98.303398
38.980027,99.235229
39.342197,100.167054
39.704329,101.098886
40.066477,102.030712
40.428641,102.962532
40.790822,103.894344
41.153021,104.826150
41.515190,105.757962
41.877378,106.689766
42.239586,107.621562
42.601814,108.553350
42.964064,109.485130
43.326292,110.416913
43.688542,111.348688
44.050815,112.280454
44.413112,113.212210
44.775434,114.143956
45.137742,115.075705
45.500075,116.007443
45.862436,116.939171
46.224824,117.870887
46.587240,118.802593
46.949649,119.734299
47.312087,120.665993
47.674556,121.597676
48.037056,122.529346
48.399588,123.461004
48.762121,124.392660
49.124686,125.324303
49.487285,126.255934
49.849919,127.187550
50.212588,128.119152
50.575265,129.050752
50.937979,129.982337
51.300730,130.913908
51.663519,131.845463
52.026346,132.777004
52.389190,133.708539
52.752073,134.640059
53.114998,135.571562
53.477963,136.503049
53.840971,137.434520
54.204003,138.365984
54.567078,139.297431
54.930197,140.228861
55.293361,141.160273
55.656571,142.091667
56.019813,143.023052
56.383101,143.954419
56.746437,144.885768
57.109822,145.817097
57.473255,146.748407
57.836728,147.679706
58.200251,148.610986
58.563825,149.542246
58.927451,150.473485
59.291129,151.404703
59.654854,152.335910
60.018634,153.267095
60.382468,154.198259
60.746357,155.129402
61.110303,156.060522
61.474302,156.991628
61.838359,157.922711
62.202474,158.853772
62.566648,159.784810
62.930882,160.715824
63.295177,161.646822
63.659534,162.577797
64.023952,163.508748
64.388433,164.439674
64.752977,165.370575
65.117590,166.301458
65.482267,167.232317
65.847010,168.163150
66.211819,169.093956
66.576694,170.024737
66.941646,170.955499
67.306667,171.886234
67.671756,172.816942
68.036914,173.747623
68.402142,174.678276
