# x_m,y_m
-0.934158,-2.173764
-0.563917,-1.244924
-0.193677,-0.316084
0.176561,0.612757
0.546798,1.541598
0.917033,2.470440
1.287298,3.399267
1.657562,4.328094
2.027825,5.256922
2.398085,6.185751
2.768345,7.114579
3.138626,8.043396
3.508906,8.972213
3.879185,9.901030
4.249462,10.829848
4.619737,11.758666
4.990027,12.687475
5.360315,13.616283
5.730602,14.545093
6.100888,15.473903
6.471172,16.402713
6.841462,17.331516
7.211751,18.260319
7.582039,19.189123
7.952325,20.117927
8.322610,21.046731
8.692893,21.975531
9.063174,22.904331
9.433454,23.833132
9.803733,24.761933
10.174010,25.690735
10.544278,26.619534
10.914544,27.548334
11.284809,28.477133
11.655073,29.405934
12.025336,30.334735
12.395581,31.263536
12.765824,32.192337
13.136066,33.121139
13.506308,34.049941
13.876548,34.978744
14.246761,35.907549
14.616974,36.836355
14.987185,37.765161
15.357395,38.693967
15.727604,39.622774
16.097779,40.551586
16.467953,41.480398
16.838126,42.409211
17.208298,43.338024
17.578469,44.266838
17.948597,45.195659
18.318725,46.124481
18.688851,47.053302
19.058977,47.982125
19.429101,48.910948
19.799175,49.839780
20.169249,50.768613
20.539321,51.697447
20.909392,52.626281
21.279462,53.555115
21.649474,54.483962
22.019486,55.412809
22.389496,56.341657
22.759505,57.270505
23.129513,58.199354
23.499455,59.128217
23.869397,60.057081
24.239337,60.985945
24.609276,61.914810
24.979215,62.843675
25.349079,63.772556
25.718943,64.701439
26.088805,65.630321
26.458667,66.559204
26.828528,67.488088
27.198307,68.416989
27.568086,69.345890
27.937864,70.274792
28.307642,71.203694
28.677418,72.132596
29.047116,73.061515
29.416813,73.990435
29.786509,74.919355
30.156204,75.848275
30.525899,76.777196
30.895519,77.706133
31.265138,78.635070
31.634757,79.564008
32.004374,80.492946
32.373991,81.421885
32.743538,82.350839
33.113083,83.279793
33.482628,84.208748
33.852173,85.137704
34.221716,86.066659
34.591194,86.995630
34.960671,87.924602
35.330147,88.853573
35.699622,89.782545
36.069097,90.711517
36.438510,91.640504
36.807922,92.569492
37.177334,93.498480
37.546745,94.427468
37.916156,95.356456
38.285079,96.285628
38.653155,97.215133
39.020399,98.144966
39.386825,99.075120
39.752449,100.005591
40.117233,100.936384
40.481244,101.867482
40.844498,102.798877
41.207011,103.730564
41.568797,104.662537
41.929822,105.594803
42.290150,106.527344
42.649797,107.460152
43.008777,108.393222
43.367106,109.326549
43.724755,110.260138
44.081782,111.193972
44.438203,112.128044
44.794033,113.062348
45.149287,113.996879
45.503941,114.931642
45.858048,115.866619
46.211626,116.801805
46.564687,117.737193
46.917249,118.672778
47.269289,119.608565
47.620859,120.544538
47.971974,121.480688
48.322650,122.417012
48.672900,123.353502
49.022710,124.290165
49.372124,125.226983
49.721160,126.163949
50.069830,127.101059
50.418152,128.038305
50.766112,128.975694
51.113753,129.913209
51.461090,130.850842
51.808138,131.788589
52.154913,132.726443
52.501405,133.664409
52.847655,134.602471
53.193675,135.540622
53.539483,136.478857
53.885093,137.417170
54.230500,138.355564
54.575740,139.294025
54.920827,140.232545
55.265776,141.171120
55.610603,142.109742
55.955308,143.048417
56.299920,143.987127
56.644455,144.925868
56.988928,145.864633
57.333354,146.803416
57.677738,147.742221
58.022104,148.681033
58.366469,149.619845
58.710848,150.558652
59.055255,151.497447
59.399700,152.436234
59.744203,153.374998
60.088780,154.313734
60.433447,155.252434
60.778218,156.191092
61.123105,157.129713
61.468127,158.068281
61.813299,159.006790
62.158635,159.945234
62.504151,160.883607
62.849864,161.821913
63.195787,162.760135
63.541935,163.698270
63.888324,164.636310
64.234967,165.574249
64.581887,166.512090
64.929093,167.449819
65.276600,168.387430
65.624422,169.324916
65.972575,170.262273
66.321085,171.199501
66.669956,172.136588
67.019203,173.073526
67.368842,174.010311
67.718887,174.946936
68.069368,175.883403
68.420285,176.819698
68.771655,177.755815
69.123491,178.691749
69.475810,179.627493
69.828644,180.563049
70.181991,181.498404
70.535866,182.433551
70.890283,183.368486
71.245257,184.303201
71.600827,185.237697
71.956985,186.171962
72.313745,187.105990
72.671124,188.039775
73.029136,188.973312
73.387823,189.906599
73.747174,190.839626
74.107203,191.772386
74.467926,192.704874
74.829358,193.637082
75.191545,194.569012
75.554470,195.500651
75.918150,196.431994
76.282599,197.363034
76.647832,198.293765
77.013763,199.224242
77.380218,200.154512
77.747186,201.084581
78.114658,202.014451
78.482622,202.944128
78.851109,203.873619
79.220069,204.802924
79.589491,205.732048
79.959365,206.660993
80.329681,207.589765
80.700472,208.518371
81.071685,209.446811
81.443309,210.375089
81.815334,211.303210
82.187749,212.231176
82.560593,213.158997
82.933808,214.086671
83.307382,215.014204
83.681307,215.941599
84.055571,216.868861
84.430216,217.795995
84.805180,218.723004
85.180454,219.649892
85.556026,220.576661
85.931886,221.503317
86.308081,222.429866
86.684544,223.356309
87.061265,224.282650
87.438234,225.208894
87.815439,226.135044
88.192932,227.061107
88.570642,227.987084
88.948558,228.912980
89.326671,229.838798
89.704970,230.764542
90.083509,231.690219
90.462214,232.615831
90.841075,233.541380
91.220080,234.466872
91.599221,235.392311
91.978555,236.317702
92.358004,237.243046
92.737557,238.168350
93.117205,239.093616
93.496936,240.018848
93.876813,240.944053
94.256754,241.869231
94.636748,242.794389
95.016785,243.719529
95.396855,244.644655
95.777025,245.569773
96.157206,246.494885
96.537390,247.419996
96.917565,248.345110
97.297722,249.270231
97.677932,250.195362
98.058103,251.120509
98.438224,252.045674
98.818287,252.970862
99.198279,253.896077
99.578278,254.821322
99.958187,255.746603
100.337995,256.671922
100.717693,257.597284
101.097271,258.522694
101.476806,259.448154
101.856201,260.373668
102.235445,261.299242
102.614527,262.224879
102.993437,263.150583
103.372258,264.076357
103.750888,265.002207
104.129315,265.928135
104.507529,266.854148
104.885521,267.780247
105.263378,268.706436
105.640991,269.632720
106.018351,270.559104
106.395447,271.485592
106.772269,272.412187
107.148909,273.338891
107.525254,274.265711
107.901295,275.192651
108.277021,276.119715
108.652422,277.046907
109.027594,277.974227
109.402421,278.901684
109.776891,279.829280
110.150996,280.757021
110.524725,281.684909
110.898178,282.612947
111.271234,283.541140
111.643884,284.469494
112.016116,285.398013
112.387922,286.326700
112.759404,287.255555
113.130439,288.184588
113.501017,289.113800
113.871126,290.043198
114.240757,290.972784
114.610018,291.902559
114.978781,292.832530
115.347035,293.762703
115.714769,294.693081
116.081975,295.623667
116.449003,296.554368
116.815965,297.485094
117.182861,298.415847
117.549690,299.346627
117.916452,300.277433
118.283273,301.208261
118.650024,302.139116
119.016706,303.069999
119.383318,304.000909
119.749860,304.931848
120.116460,305.862810
120.482989,306.793800
120.849445,307.724818
121.215827,308.655866
121.582135,309.586944
121.948504,310.518045
122.314797,311.449176
122.681014,312.380337
123.047154,313.311529
123.413217,314.242751
123.779032,315.173220
124.144770,316.103727
124.510430,317.034275
124.876012,317.964862
125.241515,318.895490
125.612496,319.817847
125.983371,320.740305
126.354141,321.662868
126.724808,322.585540
127.095373,323.508325
127.505758,324.399826
127.915935,325.291559
128.325914,326.183538
128.735704,327.075777
129.145320,327.968288
129.636282,328.803253
130.126901,329.638652
130.617206,330.474520
131.107235,331.310892
131.597023,332.147796
132.210493,332.903120
132.823644,333.659030
133.436526,334.415566
134.049195,335.172765
134.661709,335.930657
135.408548,336.582610
136.155231,337.235170
136.901809,337.888366
137.648338,338.542217
138.394873,339.196740
139.242930,339.719580
140.090972,340.243067
140.939055,340.767217
141.787240,341.292039
142.635587,341.817536
143.550915,342.186779
144.466212,342.557252
145.381609,342.928929
146.297236,343.301769
147.213209,343.675723
148.170594,343.887830
149.128316,344.100742
150.086444,344.314400
151.045037,344.528743
152.004150,344.743706
152.991095,344.831275
153.978412,344.919207
154.966122,345.007445
155.954239,345.095928
156.942776,345.184598
157.946460,345.185954
158.950381,345.187336
159.954538,345.188691
160.958927,345.189967
161.963543,345.191112
162.969182,345.142315
163.975064,345.093285
164.981176,345.043970
165.987504,344.994318
166.994031,344.944276
167.986930,344.837874
168.980145,344.730986
169.973641,344.623559
170.967377,344.515539
171.961309,344.406874
172.926540,344.202492
173.891973,343.997372
174.857534,343.791467
175.823142,343.584736
176.788715,343.377141
177.710476,343.034409
178.632019,342.690768
179.553241,342.346204
180.474035,342.000708
181.394291,341.654283
182.258600,341.162653
183.122673,340.670863
183.986502,340.178940
184.850079,339.686907
185.713401,339.194789
186.512817,338.584016
187.311981,337.973185
188.110892,337.362319
188.909553,336.751439
189.707966,336.140566
190.434558,335.439573
191.160916,334.738613
191.887048,334.037702
192.612960,333.336860
193.338663,332.636102
193.983151,331.871279
194.627437,331.106608
195.271532,330.342104
195.915452,329.577782
196.559213,328.813654
197.103683,327.991855
197.648016,327.170350
198.192235,326.349150
198.736364,325.528261
199.280429,324.707689
199.703586,323.827169
200.126732,322.947064
200.549899,322.067372
200.973121,321.188087
201.396430,320.309201
201.678736,319.368358
201.961173,318.427930
202.243773,317.487904
202.526569,316.548261
202.809590,315.608981
202.948386,314.622374
203.087221,313.636085
203.226110,312.650110
203.365069,311.664444
203.504113,310.679078
203.508242,309.674052
203.512457,308.669330
203.516771,307.664906
203.521199,306.660773
203.525753,305.656922
203.405120,304.661151
203.284612,303.665660
203.164239,302.670442
203.044014,301.675487
202.923946,300.680787
202.692828,299.713741
202.461798,298.746897
202.230863,297.780251
202.000032,296.813801
201.769310,295.847540
201.459680,294.903058
201.150079,293.958689
200.840511,293.014434
200.530980,292.070290
200.221490,291.126255
199.869773,290.192551
199.518045,289.258875
199.166308,288.325226
198.814565,287.391603
198.462820,286.458006
198.102901,285.526005
197.742972,284.594001
197.383037,283.661994
197.023097,282.729983
196.663155,281.797966
196.305114,280.865316
195.947077,279.932659
195.589045,278.999995
195.231022,278.067323
194.873009,277.134643
194.516533,276.201442
194.160073,275.268232
193.803631,274.335011
193.447210,273.401779
193.090813,272.468536
192.735549,271.534894
192.380313,270.601239
192.025108,269.667571
191.669937,268.733889
191.314802,267.800190
